Value,Percentile,TotalCount,1/(1-Percentile)
0.551,0.000000,2,1.00
4.159,0.100000,31372,1.11
4.251,0.200000,64987,1.25
4.299,0.300000,92239,1.43
4.359,0.400000,120333,1.67
4.419,0.500000,155688,2.00
4.439,0.550000,166094,2.22
4.471,0.600000,180911,2.50
4.499,0.650000,195615,2.86
4.531,0.700000,210533,3.33
4.571,0.750000,227965,4.00
4.591,0.775000,235024,4.44
4.611,0.800000,242281,5.00
4.631,0.825000,250323,5.71
4.651,0.850000,257611,6.67
4.671,0.875000,263527,8.00
4.679,0.887500,266430,8.89
4.699,0.900000,272429,10.00
4.711,0.912500,275852,11.43
4.719,0.925000,277968,13.33
4.739,0.937500,281653,16.00
4.751,0.943750,283441,17.78
4.771,0.950000,285712,20.00
4.791,0.956250,287339,22.86
4.819,0.962500,288953,26.67
4.891,0.968750,290677,32.00
5.011,0.971875,291611,35.56
5.191,0.975000,292508,40.00
5.423,0.978125,293450,45.71
5.811,0.981250,294386,53.33
6.535,0.984375,295316,64.00
7.535,0.985938,295785,71.11
14.119,0.987500,296256,80.00
14.663,0.989062,296721,91.43
15.055,0.990625,297188,106.67
15.623,0.992188,297657,128.00
15.951,0.992969,297897,142.22
16.303,0.993750,298130,160.00
16.607,0.994531,298375,182.86
16.863,0.995313,298611,213.33
17.183,0.996094,298835,256.00
17.391,0.996484,298952,284.44
17.663,0.996875,299066,320.00
17.935,0.997266,299182,365.71
18.223,0.997656,299298,426.67
18.495,0.998047,299416,512.00
18.655,0.998242,299475,568.89
18.895,0.998437,299532,640.00
19.151,0.998633,299591,731.43
19.615,0.998828,299649,853.33
20.447,0.999023,299708,1024.00
20.879,0.999121,299737,1137.78
21.455,0.999219,299766,1280.00
22.335,0.999316,299795,1462.86
23.855,0.999414,299825,1706.67
32.575,0.999512,299854,2048.00
35.135,0.999561,299869,2275.56
42.175,0.999609,299883,2560.00
54.495,0.999658,299899,2925.71
55.519,0.999707,299915,3413.33
56.543,0.999756,299927,4096.00
57.439,0.999780,299936,4551.11
58.175,0.999805,299943,5120.00
58.751,0.999829,299949,5851.43
59.999,0.999854,299957,6826.67
60.511,0.999878,299964,8192.00
60.799,0.999890,299968,9102.22
60.991,0.999902,299971,10240.00
61.887,0.999915,299975,11702.86
62.239,0.999927,299979,13653.33
63.487,0.999939,299982,16384.00
76.287,0.999945,299984,18204.44
101.567,0.999951,299986,20480.00
104.767,0.999957,299988,23405.71
106.815,0.999963,299990,27306.67
108.735,0.999969,299991,32768.00
115.199,0.999973,299992,36408.89
122.431,0.999976,299993,40960.00
149.247,0.999979,299994,46811.43
282.111,0.999982,299995,54613.33
372.223,0.999985,299996,65536.00
372.223,0.999986,299996,72817.78
408.063,0.999988,299997,81920.00
408.063,0.999989,299997,93622.86
418.815,0.999991,299998,109226.67
418.815,0.999992,299998,131072.00
418.815,0.999993,299998,145635.56
424.191,0.999994,299999,163840.00
424.191,0.999995,299999,187245.71
424.191,0.999995,299999,218453.33
424.191,0.999996,299999,262144.00
424.191,0.999997,299999,291271.11
945.663,0.999997,300000,327680.00
945.663,1.000000,300000,inf
