Value,Percentile,TotalCount,1/(1-Percentile)
3.771,0.000000,1,1.00
7.235,0.100000,30661,1.11
7.359,0.200000,60957,1.25
7.475,0.300000,90677,1.43
7.591,0.400000,120281,1.67
7.719,0.500000,150112,2.00
7.803,0.550000,165444,2.22
8.187,0.600000,180037,2.50
35.359,0.650000,195541,2.86
35.615,0.700000,211184,3.33
35.775,0.750000,225275,4.00
35.871,0.775000,234218,4.44
35.967,0.800000,242638,5.00
36.031,0.825000,247885,5.71
36.159,0.850000,256188,6.67
36.319,0.875000,263166,8.00
36.447,0.887500,266280,8.89
36.831,0.900000,270181,10.00
39.455,0.912500,273756,11.43
75.263,0.925000,277502,13.33
99.071,0.937500,281767,16.00
99.199,0.943750,283560,17.78
99.327,0.950000,285727,20.00
99.391,0.956250,286936,22.86
99.519,0.962500,289369,26.67
99.647,0.968750,291563,32.00
99.647,0.971875,291563,35.56
99.711,0.975000,292542,40.00
99.839,0.978125,294084,45.71
99.903,0.981250,294626,53.33
100.031,0.984375,295463,64.00
100.159,0.985938,296004,71.11
100.287,0.987500,296363,80.00
100.543,0.989062,296759,91.43
101.055,0.990625,297213,106.67
158.591,0.992188,297659,128.00
196.479,0.992969,297891,142.22
211.327,0.993750,298125,160.00
224.767,0.994531,298360,182.86
252.799,0.995313,298594,213.33
343.295,0.996094,298829,256.00
370.431,0.996484,298946,284.44
402.687,0.996875,299065,320.00
418.815,0.997266,299180,365.71
432.127,0.997656,299297,426.67
474.367,0.998047,299415,512.00
502.015,0.998242,299473,568.89
532.479,0.998437,299532,640.00
562.687,0.998633,299590,731.43
601.599,0.998828,299649,853.33
645.119,0.999023,299709,1024.00
664.063,0.999121,299737,1137.78
683.007,0.999219,299766,1280.00
699.903,0.999316,299795,1462.86
723.455,0.999414,299825,1706.67
736.255,0.999512,299854,2048.00
748.031,0.999561,299869,2275.56
758.783,0.999609,299883,2560.00
772.095,0.999658,299899,2925.71
785.407,0.999707,299913,3413.33
803.327,0.999756,299927,4096.00
812.031,0.999780,299935,4551.11
818.175,0.999805,299942,5120.00
830.975,0.999829,299949,5851.43
841.215,0.999854,299957,6826.67
863.231,0.999878,299964,8192.00
886.783,0.999890,299968,9102.22
905.727,0.999902,299971,10240.00
924.671,0.999915,299975,11702.86
941.567,0.999927,299979,13653.33
955.391,0.999939,299982,16384.00
957.439,0.999945,299984,18204.44
963.071,0.999951,299986,20480.00
974.847,0.999957,299988,23405.71
984.063,0.999963,299990,27306.67
985.599,0.999969,299991,32768.00
990.207,0.999973,299992,36408.89
990.719,0.999976,299993,40960.00
991.231,0.999979,299994,46811.43
996.863,0.999982,299995,54613.33
999.423,0.999985,299996,65536.00
999.423,0.999986,299996,72817.78
1002.495,0.999988,299997,81920.00
1002.495,0.999989,299997,93622.86
1015.295,0.999991,299998,109226.67
1015.295,0.999992,299998,131072.00
1015.295,0.999993,299998,145635.56
1017.343,0.999994,299999,163840.00
1017.343,0.999995,299999,187245.71
1017.343,0.999995,299999,218453.33
1017.343,0.999996,299999,262144.00
1017.343,0.999997,299999,291271.11
1027.071,0.999997,300000,327680.00
1027.071,1.000000,300000,inf
