Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,163971,1.00
0.001,0.100000,163971,1.11
0.001,0.200000,163971,1.25
0.001,0.300000,163971,1.43
0.001,0.400000,163971,1.67
0.001,0.500000,163971,2.00
0.007,0.550000,166630,2.22
0.076,0.600000,180037,2.50
0.157,0.650000,196078,2.86
0.278,0.700000,210071,3.33
0.476,0.750000,225246,4.00
0.508,0.775000,233353,4.44
0.538,0.800000,240874,5.00
0.568,0.825000,248124,5.71
0.608,0.850000,255997,6.67
0.668,0.875000,262734,8.00
0.748,0.887500,266407,8.89
1.039,0.900000,270001,10.00
6.139,0.912500,273752,11.43
10.455,0.925000,277501,13.33
10.759,0.937500,281328,16.00
10.879,0.943750,283227,17.78
10.999,0.950000,285111,20.00
11.119,0.956250,286884,22.86
11.263,0.962500,288769,26.67
11.455,0.968750,290637,32.00
11.615,0.971875,291590,35.56
11.935,0.975000,292501,40.00
33.311,0.978125,293438,45.71
73.599,0.981250,294379,53.33
74.303,0.984375,295314,64.00
74.495,0.985938,295980,71.11
74.623,0.987500,296573,80.00
74.687,0.989062,296875,91.43
74.751,0.990625,297193,106.67
74.879,0.992188,297739,128.00
74.943,0.992969,298002,142.22
75.007,0.993750,298220,160.00
75.071,0.994531,298424,182.86
75.135,0.995313,298616,213.33
75.263,0.996094,298900,256.00
75.327,0.996484,299004,284.44
75.391,0.996875,299070,320.00
75.519,0.997266,299184,365.71
76.159,0.997656,299298,426.67
96.895,0.998047,299415,512.00
104.383,0.998242,299473,568.89
115.455,0.998437,299532,640.00
122.239,0.998633,299590,731.43
141.695,0.998828,299649,853.33
191.999,0.999023,299708,1024.00
219.775,0.999121,299737,1137.78
253.183,0.999219,299766,1280.00
280.575,0.999316,299795,1462.86
303.359,0.999414,299826,1706.67
330.239,0.999512,299854,2048.00
348.159,0.999561,299869,2275.56
367.359,0.999609,299883,2560.00
397.311,0.999658,299898,2925.71
421.631,0.999707,299913,3413.33
451.583,0.999756,299927,4096.00
466.431,0.999780,299935,4551.11
486.143,0.999805,299942,5120.00
514.559,0.999829,299949,5851.43
535.039,0.999854,299957,6826.67
555.007,0.999878,299964,8192.00
564.735,0.999890,299968,9102.22
574.463,0.999902,299971,10240.00
580.607,0.999915,299975,11702.86
604.159,0.999927,299979,13653.33
612.351,0.999939,299982,16384.00
637.951,0.999945,299984,18204.44
657.407,0.999951,299986,20480.00
676.351,0.999957,299988,23405.71
684.031,0.999963,299990,27306.67
686.079,0.999969,299991,32768.00
706.047,0.999973,299992,36408.89
717.311,0.999976,299993,40960.00
722.431,0.999979,299994,46811.43
741.375,0.999982,299995,54613.33
749.567,0.999985,299996,65536.00
749.567,0.999986,299996,72817.78
762.367,0.999988,299997,81920.00
762.367,0.999989,299997,93622.86
764.415,0.999991,299998,109226.67
764.415,0.999992,299998,131072.00
764.415,0.999993,299998,145635.56
809.471,0.999994,299999,163840.00
809.471,0.999995,299999,187245.71
809.471,0.999995,299999,218453.33
809.471,0.999996,299999,262144.00
809.471,0.999997,299999,291271.11
866.303,0.999997,300000,327680.00
866.303,1.000000,300000,inf
