Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,152819,1.00
0.001,0.100000,152819,1.11
0.001,0.200000,152819,1.25
0.001,0.300000,152819,1.43
0.001,0.400000,152819,1.67
0.001,0.500000,152819,2.00
1.539,0.550000,165043,2.22
13.375,0.600000,180001,2.50
37.567,0.650000,195000,2.86
46.367,0.700000,210012,3.33
80.511,0.750000,225015,4.00
98.367,0.775000,232517,4.44
101.631,0.800000,240141,5.00
105.919,0.825000,247642,5.71
107.199,0.850000,255022,6.67
114.367,0.875000,262507,8.00
119.807,0.887500,266306,8.89
153.983,0.900000,270002,10.00
268.799,0.912500,273757,11.43
318.463,0.925000,277509,13.33
338.431,0.937500,281303,16.00
345.599,0.943750,283189,17.78
368.639,0.950000,285018,20.00
382.975,0.956250,287037,22.86
389.887,0.962500,288862,26.67
403.199,0.968750,290630,32.00
417.279,0.971875,291572,35.56
434.943,0.975000,292511,40.00
453.375,0.978125,293449,45.71
472.319,0.981250,294386,53.33
492.543,0.984375,295313,64.00
503.295,0.985938,295786,71.11
515.583,0.987500,296257,80.00
525.823,0.989062,296736,91.43
538.623,0.990625,297213,106.67
552.959,0.992188,297675,128.00
561.151,0.992969,297903,142.22
569.343,0.993750,298129,160.00
578.559,0.994531,298367,182.86
589.311,0.995313,298596,213.33
601.087,0.996094,298832,256.00
616.447,0.996484,298947,284.44
635.903,0.996875,299067,320.00
653.311,0.997266,299180,365.71
679.423,0.997656,299297,426.67
710.655,0.998047,299416,512.00
732.671,0.998242,299473,568.89
756.223,0.998437,299534,640.00
773.119,0.998633,299590,731.43
793.599,0.998828,299649,853.33
815.103,0.999023,299712,1024.00
824.831,0.999121,299738,1137.78
835.071,0.999219,299766,1280.00
846.847,0.999316,299796,1462.86
859.647,0.999414,299826,1706.67
873.983,0.999512,299855,2048.00
879.103,0.999561,299869,2275.56
887.807,0.999609,299883,2560.00
904.703,0.999658,299898,2925.71
911.359,0.999707,299913,3413.33
917.503,0.999756,299927,4096.00
923.647,0.999780,299935,4551.11
925.183,0.999805,299942,5120.00
932.351,0.999829,299949,5851.43
936.447,0.999854,299957,6826.67
944.127,0.999878,299964,8192.00
945.663,0.999890,299969,9102.22
948.223,0.999902,299971,10240.00
950.271,0.999915,299975,11702.86
958.463,0.999927,299980,13653.33
962.559,0.999939,299983,16384.00
963.583,0.999945,299985,18204.44
965.119,0.999951,299986,20480.00
966.655,0.999957,299988,23405.71
969.727,0.999963,299990,27306.67
970.239,0.999969,299991,32768.00
974.847,0.999973,299993,36408.89
974.847,0.999976,299993,40960.00
975.871,0.999979,299994,46811.43
976.383,0.999982,299995,54613.33
980.479,0.999985,299997,65536.00
980.479,0.999986,299997,72817.78
980.479,0.999988,299997,81920.00
980.479,0.999989,299997,93622.86
991.743,0.999991,299998,109226.67
991.743,0.999992,299998,131072.00
991.743,0.999993,299998,145635.56
1131.519,0.999994,299999,163840.00
1131.519,0.999995,299999,187245.71
1131.519,0.999995,299999,218453.33
1131.519,0.999996,299999,262144.00
1131.519,0.999997,299999,291271.11
1378.303,0.999997,300000,327680.00
1378.303,1.000000,300000,inf
