Value,Percentile,TotalCount,1/(1-Percentile)
0.721,0.000000,1,1.00
4.171,0.100000,33039,1.11
4.231,0.200000,61669,1.25
4.291,0.300000,95743,1.43
4.339,0.400000,125227,1.67
4.391,0.500000,152814,2.00
4.419,0.550000,171609,2.22
4.439,0.600000,183420,2.50
4.471,0.650000,196722,2.86
4.499,0.700000,211721,3.33
4.531,0.750000,225313,4.00
4.551,0.775000,233886,4.44
4.571,0.800000,242338,5.00
4.591,0.825000,249161,5.71
4.611,0.850000,255554,6.67
4.631,0.875000,262825,8.00
4.639,0.887500,266492,8.89
4.659,0.900000,272875,10.00
4.671,0.912500,275889,11.43
4.679,0.925000,277987,13.33
4.699,0.937500,281571,16.00
4.711,0.943750,283985,17.78
4.719,0.950000,285465,20.00
4.731,0.956250,287115,22.86
4.751,0.962500,289738,26.67
4.763,0.968750,290736,32.00
4.779,0.971875,291752,35.56
4.803,0.975000,292541,40.00
4.871,0.978125,293483,45.71
4.979,0.981250,294376,53.33
5.091,0.984375,295383,64.00
5.143,0.985938,295844,71.11
5.191,0.987500,296303,80.00
5.243,0.989062,296751,91.43
5.303,0.990625,297246,106.67
5.363,0.992188,297686,128.00
5.403,0.992969,297935,142.22
5.443,0.993750,298170,160.00
5.483,0.994531,298361,182.86
5.543,0.995313,298596,213.33
5.643,0.996094,298832,256.00
5.711,0.996484,298956,284.44
5.811,0.996875,299066,320.00
5.931,0.997266,299182,365.71
6.135,0.997656,299302,426.67
6.463,0.998047,299415,512.00
6.903,0.998242,299473,568.89
7.787,0.998437,299532,640.00
9.159,0.998633,299591,731.43
13.327,0.998828,299649,853.33
14.663,0.999023,299709,1024.00
15.079,0.999121,299737,1137.78
15.511,0.999219,299767,1280.00
15.823,0.999316,299797,1462.86
16.103,0.999414,299825,1706.67
16.463,0.999512,299856,2048.00
16.687,0.999561,299872,2275.56
16.943,0.999609,299884,2560.00
17.327,0.999658,299899,2925.71
17.807,0.999707,299914,3413.33
18.079,0.999756,299927,4096.00
18.271,0.999780,299935,4551.11
18.447,0.999805,299942,5120.00
18.607,0.999829,299950,5851.43
18.863,0.999854,299957,6826.67
19.247,0.999878,299964,8192.00
19.711,0.999890,299968,9102.22
19.871,0.999902,299971,10240.00
20.511,0.999915,299975,11702.86
21.151,0.999927,299979,13653.33
21.743,0.999939,299982,16384.00
21.887,0.999945,299984,18204.44
22.127,0.999951,299986,20480.00
22.511,0.999957,299988,23405.71
22.863,0.999963,299990,27306.67
23.375,0.999969,299991,32768.00
23.407,0.999973,299992,36408.89
23.567,0.999976,299993,40960.00
24.111,0.999979,299994,46811.43
25.247,0.999982,299995,54613.33
25.279,0.999985,299996,65536.00
25.279,0.999986,299996,72817.78
26.671,0.999988,299997,81920.00
26.671,0.999989,299997,93622.86
27.519,0.999991,299998,109226.67
27.519,0.999992,299998,131072.00
27.519,0.999993,299998,145635.56
28.943,0.999994,299999,163840.00
28.943,0.999995,299999,187245.71
28.943,0.999995,299999,218453.33
28.943,0.999996,299999,262144.00
28.943,0.999997,299999,291271.11
30.895,0.999997,300000,327680.00
30.895,1.000000,300000,inf
