Value,Percentile,TotalCount,1/(1-Percentile)
2.595,0.000000,1,1.00
2.925,0.100000,30073,1.11
3.079,0.200000,60061,1.25
3.191,0.300000,90436,1.43
3.289,0.400000,120109,1.67
3.385,0.500000,150090,2.00
3.435,0.550000,165015,2.22
3.489,0.600000,180402,2.50
3.547,0.650000,195508,2.86
3.605,0.700000,210046,3.33
3.669,0.750000,225255,4.00
3.707,0.775000,232715,4.44
3.755,0.800000,240301,5.00
3.805,0.825000,247548,5.71
3.861,0.850000,255058,6.67
3.959,0.875000,262533,8.00
4.167,0.887500,266256,8.89
4.915,0.900000,270006,10.00
13.087,0.912500,273781,11.43
25.327,0.925000,277526,13.33
25.535,0.937500,281418,16.00
25.615,0.943750,283168,17.78
25.711,0.950000,285321,20.00
25.807,0.956250,287160,22.86
25.919,0.962500,288944,26.67
26.095,0.968750,290639,32.00
26.303,0.971875,291626,35.56
27.743,0.975000,292500,40.00
60.095,0.978125,293438,45.71
88.831,0.981250,294426,53.33
89.087,0.984375,295473,64.00
89.151,0.985938,295861,71.11
89.215,0.987500,296281,80.00
89.279,0.989062,296762,91.43
89.343,0.990625,297238,106.67
89.407,0.992188,297690,128.00
89.471,0.992969,298068,142.22
89.535,0.993750,298410,160.00
89.535,0.994531,298410,182.86
89.599,0.995313,298680,213.33
89.663,0.996094,298948,256.00
89.663,0.996484,298948,284.44
89.727,0.996875,299211,320.00
89.727,0.997266,299211,365.71
89.791,0.997656,299410,426.67
89.855,0.998047,299510,512.00
89.855,0.998242,299510,568.89
89.919,0.998437,299581,640.00
89.983,0.998633,299620,731.43
90.111,0.998828,299671,853.33
90.239,0.999023,299708,1024.00
90.495,0.999121,299740,1137.78
91.711,0.999219,299766,1280.00
117.183,0.999316,299795,1462.86
156.031,0.999414,299825,1706.67
252.287,0.999512,299854,2048.00
295.935,0.999561,299869,2275.56
325.119,0.999609,299883,2560.00
349.695,0.999658,299898,2925.71
375.039,0.999707,299913,3413.33
400.127,0.999756,299927,4096.00
409.343,0.999780,299935,4551.11
414.975,0.999805,299942,5120.00
455.423,0.999829,299949,5851.43
493.823,0.999854,299957,6826.67
523.519,0.999878,299964,8192.00
529.407,0.999890,299968,9102.22
551.423,0.999902,299971,10240.00
580.607,0.999915,299975,11702.86
631.295,0.999927,299979,13653.33
662.527,0.999939,299982,16384.00
669.695,0.999945,299984,18204.44
672.255,0.999951,299986,20480.00
698.879,0.999957,299988,23405.71
727.039,0.999963,299990,27306.67
732.671,0.999969,299991,32768.00
744.447,0.999973,299992,36408.89
752.127,0.999976,299993,40960.00
756.735,0.999979,299994,46811.43
787.967,0.999982,299995,54613.33
828.927,0.999985,299996,65536.00
828.927,0.999986,299996,72817.78
839.167,0.999988,299997,81920.00
839.167,0.999989,299997,93622.86
854.015,0.999991,299998,109226.67
854.015,0.999992,299998,131072.00
854.015,0.999993,299998,145635.56
859.135,0.999994,300000,163840.00
859.135,1.000000,300000,inf
