Value,Percentile,TotalCount,1/(1-Percentile)
2.941,0.000000,1,1.00
3.261,0.100000,30035,1.11
3.325,0.200000,60299,1.25
3.385,0.300000,90917,1.43
3.451,0.400000,120275,1.67
3.535,0.500000,150431,2.00
3.581,0.550000,165090,2.22
3.629,0.600000,180088,2.50
3.677,0.650000,195362,2.86
3.725,0.700000,210596,3.33
3.773,0.750000,225098,4.00
3.803,0.775000,232927,4.44
3.835,0.800000,240178,5.00
3.877,0.825000,247763,5.71
3.933,0.850000,255131,6.67
4.019,0.875000,262509,8.00
4.085,0.887500,266276,8.89
4.175,0.900000,270170,10.00
4.279,0.912500,273789,11.43
4.411,0.925000,277548,13.33
4.611,0.937500,281272,16.00
4.763,0.943750,283126,17.78
4.951,0.950000,285023,20.00
5.175,0.956250,286890,22.86
5.427,0.962500,288763,26.67
5.727,0.968750,290629,32.00
5.907,0.971875,291574,35.56
6.087,0.975000,292501,40.00
6.295,0.978125,293455,45.71
6.531,0.981250,294379,53.33
6.815,0.984375,295321,64.00
6.995,0.985938,295783,71.11
7.195,0.987500,296252,80.00
7.415,0.989062,296724,91.43
7.679,0.990625,297196,106.67
7.983,0.992188,297657,128.00
8.191,0.992969,297892,142.22
8.415,0.993750,298128,160.00
8.671,0.994531,298360,182.86
8.959,0.995313,298597,213.33
9.311,0.996094,298839,256.00
9.503,0.996484,298947,284.44
9.735,0.996875,299066,320.00
9.999,0.997266,299183,365.71
10.327,0.997656,299298,426.67
10.799,0.998047,299418,512.00
11.079,0.998242,299473,568.89
11.471,0.998437,299532,640.00
11.983,0.998633,299590,731.43
12.623,0.998828,299649,853.33
13.591,0.999023,299708,1024.00
13.703,0.999121,299737,1137.78
13.983,0.999219,299766,1280.00
14.535,0.999316,299795,1462.86
15.255,0.999414,299825,1706.67
16.319,0.999512,299855,2048.00
16.975,0.999561,299869,2275.56
17.743,0.999609,299884,2560.00
18.687,0.999658,299898,2925.71
20.415,0.999707,299913,3413.33
22.127,0.999756,299927,4096.00
23.535,0.999780,299935,4551.11
25.727,0.999805,299942,5120.00
27.279,0.999829,299949,5851.43
32.127,0.999854,299957,6826.67
38.367,0.999878,299964,8192.00
44.319,0.999890,299968,9102.22
45.919,0.999902,299971,10240.00
56.831,0.999915,299975,11702.86
82.623,0.999927,299979,13653.33
98.239,0.999939,299982,16384.00
131.967,0.999945,299984,18204.44
156.287,0.999951,299986,20480.00
172.031,0.999957,299988,23405.71
205.183,0.999963,299990,27306.67
208.127,0.999969,299991,32768.00
235.263,0.999973,299992,36408.89
280.319,0.999976,299993,40960.00
290.047,0.999979,299994,46811.43
292.351,0.999982,299995,54613.33
301.055,0.999985,299996,65536.00
301.055,0.999986,299996,72817.78
324.095,0.999988,299997,81920.00
324.095,0.999989,299997,93622.86
331.007,0.999991,299998,109226.67
331.007,0.999992,299998,131072.00
331.007,0.999993,299998,145635.56
352.767,0.999994,299999,163840.00
352.767,0.999995,299999,187245.71
352.767,0.999995,299999,218453.33
352.767,0.999996,299999,262144.00
352.767,0.999997,299999,291271.11
435.711,0.999997,300000,327680.00
435.711,1.000000,300000,inf
