Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,152433,1.00
0.001,0.100000,152433,1.11
0.001,0.200000,152433,1.25
0.001,0.300000,152433,1.43
0.001,0.400000,152433,1.67
0.001,0.500000,152433,2.00
0.027,0.550000,166030,2.22
0.067,0.600000,183194,2.50
0.097,0.650000,195196,2.86
0.147,0.700000,212778,3.33
0.197,0.750000,227182,4.00
0.218,0.775000,232896,4.44
0.248,0.800000,240006,5.00
0.287,0.825000,248017,5.71
0.327,0.850000,255671,6.67
0.367,0.875000,262912,8.00
0.388,0.887500,267100,8.89
0.408,0.900000,270231,10.00
0.438,0.912500,274546,11.43
0.467,0.925000,277684,13.33
0.498,0.937500,281857,16.00
0.518,0.943750,283827,17.78
0.538,0.950000,285625,20.00
0.558,0.956250,287100,22.86
0.588,0.962500,288969,26.67
0.628,0.968750,290803,32.00
0.658,0.971875,291786,35.56
0.688,0.975000,292597,40.00
0.729,0.978125,293454,45.71
0.798,0.981250,294424,53.33
0.889,0.984375,295356,64.00
0.948,0.985938,295786,71.11
1.019,0.987500,296280,80.00
1.099,0.989062,296722,91.43
1.199,0.990625,297191,106.67
1.349,0.992188,297668,128.00
1.440,0.992969,297904,142.22
1.540,0.993750,298140,160.00
1.640,0.994531,298366,182.86
1.770,0.995313,298605,213.33
1.931,0.996094,298831,256.00
2.041,0.996484,298952,284.44
2.141,0.996875,299072,320.00
2.253,0.997266,299180,365.71
2.403,0.997656,299297,426.67
2.561,0.998047,299416,512.00
2.683,0.998242,299475,568.89
2.813,0.998437,299534,640.00
2.953,0.998633,299593,731.43
3.143,0.998828,299652,853.33
3.353,0.999023,299708,1024.00
3.493,0.999121,299738,1137.78
3.645,0.999219,299768,1280.00
3.885,0.999316,299796,1462.86
4.075,0.999414,299826,1706.67
4.579,0.999512,299854,2048.00
4.847,0.999561,299869,2275.56
5.287,0.999609,299883,2560.00
5.891,0.999658,299899,2925.71
6.703,0.999707,299913,3413.33
7.491,0.999756,299927,4096.00
8.335,0.999780,299935,4551.11
9.495,0.999805,299942,5120.00
10.079,0.999829,299949,5851.43
10.919,0.999854,299957,6826.67
16.279,0.999878,299964,8192.00
18.063,0.999890,299968,9102.22
21.647,0.999902,299971,10240.00
29.215,0.999915,299975,11702.86
38.623,0.999927,299979,13653.33
44.255,0.999939,299982,16384.00
44.767,0.999945,299984,18204.44
53.023,0.999951,299986,20480.00
127.935,0.999957,299988,23405.71
175.487,0.999963,299990,27306.67
184.831,0.999969,299991,32768.00
232.959,0.999973,299992,36408.89
263.423,0.999976,299993,40960.00
267.263,0.999979,299994,46811.43
270.847,0.999982,299995,54613.33
283.391,0.999985,299996,65536.00
283.391,0.999986,299996,72817.78
286.719,0.999988,299997,81920.00
286.719,0.999989,299997,93622.86
293.119,0.999991,299998,109226.67
293.119,0.999992,299998,131072.00
293.119,0.999993,299998,145635.56
308.223,0.999994,299999,163840.00
308.223,0.999995,299999,187245.71
308.223,0.999995,299999,218453.33
308.223,0.999996,299999,262144.00
308.223,0.999997,299999,291271.11
425.471,0.999997,300000,327680.00
425.471,1.000000,300000,inf
