Value,Percentile,TotalCount,1/(1-Percentile)
0.030,0.000000,28404,1.00
0.031,0.100000,30182,1.11
0.040,0.200000,199068,1.25
0.040,0.300000,199068,1.43
0.040,0.400000,199068,1.67
0.040,0.500000,199068,2.00
0.040,0.550000,199068,2.22
0.040,0.600000,199068,2.50
0.040,0.650000,199068,2.86
0.041,0.700000,213581,3.33
0.050,0.750000,244021,4.00
0.050,0.775000,244021,4.44
0.050,0.800000,244021,5.00
0.060,0.825000,280063,5.71
0.060,0.850000,280063,6.67
0.060,0.875000,280063,8.00
0.060,0.887500,280063,8.89
0.060,0.900000,280063,10.00
0.060,0.912500,280063,11.43
0.060,0.925000,280063,13.33
0.061,0.937500,284441,16.00
0.061,0.943750,284441,17.78
0.070,0.950000,286743,20.00
0.071,0.956250,287148,22.86
0.080,0.962500,291970,26.67
0.080,0.968750,291970,32.00
0.080,0.971875,291970,35.56
0.081,0.975000,292934,40.00
0.091,0.978125,293485,45.71
0.110,0.981250,294470,53.33
0.130,0.984375,295715,64.00
0.131,0.985938,295887,71.11
0.140,0.987500,296343,80.00
0.150,0.989062,296751,91.43
0.161,0.990625,297279,106.67
0.180,0.992188,297842,128.00
0.181,0.992969,297947,142.22
0.191,0.993750,298173,160.00
0.210,0.994531,298431,182.86
0.221,0.995313,298637,213.33
0.241,0.996094,298862,256.00
0.260,0.996484,298983,284.44
0.270,0.996875,299075,320.00
0.290,0.997266,299214,365.71
0.300,0.997656,299300,426.67
0.320,0.998047,299415,512.00
0.341,0.998242,299479,568.89
0.361,0.998437,299573,640.00
0.370,0.998633,299605,731.43
0.371,0.998828,299693,853.33
0.381,0.999023,299737,1024.00
0.381,0.999121,299737,1137.78
0.401,0.999219,299779,1280.00
0.421,0.999316,299801,1462.86
0.471,0.999414,299828,1706.67
0.521,0.999512,299872,2048.00
0.521,0.999561,299872,2275.56
0.531,0.999609,299890,2560.00
0.541,0.999658,299902,2925.71
0.551,0.999707,299914,3413.33
0.571,0.999756,299929,4096.00
0.581,0.999780,299935,4551.11
0.601,0.999805,299943,5120.00
0.621,0.999829,299950,5851.43
0.692,0.999854,299959,6826.67
0.741,0.999878,299966,8192.00
0.751,0.999890,299969,9102.22
0.752,0.999902,299971,10240.00
0.781,0.999915,299975,11702.86
0.822,0.999927,299979,13653.33
0.842,0.999939,299983,16384.00
0.862,0.999945,299984,18204.44
0.882,0.999951,299986,20480.00
0.892,0.999957,299988,23405.71
0.932,0.999963,299990,27306.67
1.012,0.999969,299991,32768.00
1.022,0.999973,299992,36408.89
1.042,0.999976,299993,40960.00
1.063,0.999979,299994,46811.43
1.102,0.999982,299995,54613.33
1.182,0.999985,299996,65536.00
1.182,0.999986,299996,72817.78
1.403,0.999988,299997,81920.00
1.403,0.999989,299997,93622.86
1.523,0.999991,299998,109226.67
1.523,0.999992,299998,131072.00
1.523,0.999993,299998,145635.56
1.593,0.999994,299999,163840.00
1.593,0.999995,299999,187245.71
1.593,0.999995,299999,218453.33
1.593,0.999996,299999,262144.00
1.593,0.999997,299999,291271.11
3.779,0.999997,300000,327680.00
3.779,1.000000,300000,inf
