Value,Percentile,TotalCount,1/(1-Percentile)
3.925,0.000000,1,1.00
4.391,0.100000,30836,1.11
4.463,0.200000,60045,1.25
4.523,0.300000,91876,1.43
4.575,0.400000,121386,1.67
4.631,0.500000,151413,2.00
4.659,0.550000,165545,2.22
4.691,0.600000,180400,2.50
4.727,0.650000,195744,2.86
4.767,0.700000,211092,3.33
4.811,0.750000,225826,4.00
4.835,0.775000,232986,4.44
4.863,0.800000,240929,5.00
4.891,0.825000,248001,5.71
4.923,0.850000,255349,6.67
4.963,0.875000,263008,8.00
4.983,0.887500,266342,8.89
5.011,0.900000,270379,10.00
5.039,0.912500,273987,11.43
5.075,0.925000,277804,13.33
5.119,0.937500,281383,16.00
5.147,0.943750,283195,17.78
5.183,0.950000,285089,20.00
5.227,0.956250,286878,22.86
5.295,0.962500,288833,26.67
5.395,0.968750,290655,32.00
5.467,0.971875,291578,35.56
5.563,0.975000,292506,40.00
5.683,0.978125,293466,45.71
5.835,0.981250,294383,53.33
6.023,0.984375,295329,64.00
6.143,0.985938,295796,71.11
6.287,0.987500,296261,80.00
6.447,0.989062,296719,91.43
6.647,0.990625,297197,106.67
6.867,0.992188,297658,128.00
7.019,0.992969,297895,142.22
7.147,0.993750,298125,160.00
7.327,0.994531,298361,182.86
7.523,0.995313,298598,213.33
7.747,0.996094,298830,256.00
7.863,0.996484,298950,284.44
8.023,0.996875,299063,320.00
8.191,0.997266,299181,365.71
8.415,0.997656,299297,426.67
8.663,0.998047,299418,512.00
8.831,0.998242,299473,568.89
9.047,0.998437,299533,640.00
9.223,0.998633,299590,731.43
9.439,0.998828,299649,853.33
9.863,0.999023,299708,1024.00
10.087,0.999121,299737,1137.78
10.391,0.999219,299769,1280.00
10.711,0.999316,299796,1462.86
11.047,0.999414,299825,1706.67
11.423,0.999512,299854,2048.00
11.767,0.999561,299869,2275.56
12.175,0.999609,299883,2560.00
12.735,0.999658,299898,2925.71
13.591,0.999707,299913,3413.33
14.815,0.999756,299929,4096.00
14.919,0.999780,299935,4551.11
15.031,0.999805,299942,5120.00
15.383,0.999829,299949,5851.43
16.351,0.999854,299957,6826.67
18.143,0.999878,299964,8192.00
18.703,0.999890,299968,9102.22
19.823,0.999902,299971,10240.00
20.863,0.999915,299975,11702.86
23.279,0.999927,299979,13653.33
25.823,0.999939,299982,16384.00
28.639,0.999945,299984,18204.44
30.703,0.999951,299986,20480.00
32.671,0.999957,299988,23405.71
33.855,0.999963,299990,27306.67
38.239,0.999969,299991,32768.00
38.911,0.999973,299992,36408.89
41.151,0.999976,299993,40960.00
43.647,0.999979,299994,46811.43
46.303,0.999982,299995,54613.33
58.527,0.999985,299996,65536.00
58.527,0.999986,299996,72817.78
59.295,0.999988,299997,81920.00
59.295,0.999989,299997,93622.86
67.519,0.999991,299998,109226.67
67.519,0.999992,299998,131072.00
67.519,0.999993,299998,145635.56
91.519,0.999994,299999,163840.00
91.519,0.999995,299999,187245.71
91.519,0.999995,299999,218453.33
91.519,0.999996,299999,262144.00
91.519,0.999997,299999,291271.11
222.335,0.999997,300000,327680.00
222.335,1.000000,300000,inf
