Value,Percentile,TotalCount,1/(1-Percentile)
0.591,0.000000,1,1.00
0.781,0.100000,33936,1.11
0.802,0.200000,63330,1.25
0.822,0.300000,93633,1.43
0.842,0.400000,127996,1.67
0.861,0.500000,151069,2.00
0.871,0.550000,167315,2.22
0.881,0.600000,182831,2.50
0.891,0.650000,197481,2.86
0.901,0.700000,210620,3.33
0.912,0.750000,231449,4.00
0.921,0.775000,233487,4.44
0.922,0.800000,241286,5.00
0.932,0.825000,250008,5.71
0.942,0.850000,257311,6.67
0.952,0.875000,263497,8.00
0.962,0.887500,268667,8.89
0.972,0.900000,273007,10.00
0.982,0.912500,276496,11.43
0.992,0.925000,279273,13.33
1.002,0.937500,281450,16.00
1.012,0.943750,283182,17.78
1.032,0.950000,285652,20.00
1.052,0.956250,287188,22.86
1.092,0.962500,288926,26.67
1.153,0.968750,290652,32.00
1.212,0.971875,291680,35.56
1.272,0.975000,292544,40.00
1.352,0.978125,293459,45.71
1.452,0.981250,294375,53.33
1.563,0.984375,295352,64.00
1.623,0.985938,295784,71.11
1.694,0.987500,296263,80.00
1.773,0.989062,296732,91.43
1.854,0.990625,297189,106.67
1.954,0.992188,297676,128.00
2.014,0.992969,297911,142.22
2.075,0.993750,298148,160.00
2.135,0.994531,298363,182.86
2.205,0.995313,298601,213.33
2.295,0.996094,298838,256.00
2.345,0.996484,298951,284.44
2.395,0.996875,299069,320.00
2.465,0.997266,299187,365.71
2.545,0.997656,299307,426.67
2.615,0.998047,299417,512.00
2.665,0.998242,299475,568.89
2.725,0.998437,299533,640.00
2.795,0.998633,299595,731.43
2.857,0.998828,299649,853.33
2.937,0.999023,299709,1024.00
2.997,0.999121,299739,1137.78
3.047,0.999219,299769,1280.00
3.137,0.999316,299797,1462.86
3.247,0.999414,299828,1706.67
3.357,0.999512,299856,2048.00
3.427,0.999561,299870,2275.56
3.567,0.999609,299884,2560.00
3.657,0.999658,299899,2925.71
3.837,0.999707,299915,3413.33
4.029,0.999756,299927,4096.00
4.271,0.999780,299935,4551.11
4.491,0.999805,299942,5120.00
4.731,0.999829,299949,5851.43
5.231,0.999854,299958,6826.67
5.651,0.999878,299964,8192.00
5.843,0.999890,299968,9102.22
6.083,0.999902,299971,10240.00
6.903,0.999915,299975,11702.86
7.375,0.999927,299979,13653.33
7.847,0.999939,299982,16384.00
8.879,0.999945,299984,18204.44
10.807,0.999951,299986,20480.00
11.359,0.999957,299988,23405.71
14.615,0.999963,299990,27306.67
14.703,0.999969,299991,32768.00
14.743,0.999973,299992,36408.89
20.559,0.999976,299993,40960.00
22.927,0.999979,299994,46811.43
23.039,0.999982,299995,54613.33
23.295,0.999985,299996,65536.00
23.295,0.999986,299996,72817.78
28.543,0.999988,299997,81920.00
28.543,0.999989,299997,93622.86
29.183,0.999991,299998,109226.67
29.183,0.999992,299998,131072.00
29.183,0.999993,299998,145635.56
57.215,0.999994,299999,163840.00
57.215,0.999995,299999,187245.71
57.215,0.999995,299999,218453.33
57.215,0.999996,299999,262144.00
57.215,0.999997,299999,291271.11
60.671,0.999997,300000,327680.00
60.671,1.000000,300000,inf
