Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,152579,1.00
0.001,0.100000,152579,1.11
0.001,0.200000,152579,1.25
0.001,0.300000,152579,1.43
0.001,0.400000,152579,1.67
0.001,0.500000,152579,2.00
0.027,0.550000,165224,2.22
0.067,0.600000,181680,2.50
0.107,0.650000,197449,2.86
0.147,0.700000,211827,3.33
0.197,0.750000,227113,4.00
0.217,0.775000,232694,4.44
0.247,0.800000,240419,5.00
0.278,0.825000,247754,5.71
0.317,0.850000,255432,6.67
0.358,0.875000,263079,8.00
0.387,0.887500,267076,8.89
0.408,0.900000,270483,10.00
0.438,0.912500,274339,11.43
0.468,0.925000,277735,13.33
0.508,0.937500,281420,16.00
0.537,0.943750,283227,17.78
0.567,0.950000,285114,20.00
0.598,0.956250,287189,22.86
0.638,0.962500,288903,26.67
0.698,0.968750,290886,32.00
0.728,0.971875,291679,35.56
0.768,0.975000,292597,40.00
0.818,0.978125,293579,45.71
0.869,0.981250,294438,53.33
0.939,0.984375,295341,64.00
0.988,0.985938,295823,71.11
1.029,0.987500,296251,80.00
1.099,0.989062,296745,91.43
1.189,0.990625,297222,106.67
1.310,0.992188,297659,128.00
1.390,0.992969,297898,142.22
1.480,0.993750,298142,160.00
1.570,0.994531,298360,182.86
1.700,0.995313,298606,213.33
1.860,0.996094,298840,256.00
1.931,0.996484,298947,284.44
2.030,0.996875,299067,320.00
2.141,0.997266,299186,365.71
2.271,0.997656,299304,426.67
2.413,0.998047,299415,512.00
2.493,0.998242,299475,568.89
2.633,0.998437,299534,640.00
2.803,0.998633,299593,731.43
2.983,0.998828,299650,853.33
3.203,0.999023,299708,1024.00
3.423,0.999121,299737,1137.78
3.623,0.999219,299766,1280.00
3.865,0.999316,299799,1462.86
4.195,0.999414,299825,1706.67
4.475,0.999512,299855,2048.00
4.959,0.999561,299869,2275.56
5.527,0.999609,299883,2560.00
6.071,0.999658,299898,2925.71
6.539,0.999707,299913,3413.33
8.035,0.999756,299927,4096.00
8.671,0.999780,299935,4551.11
9.823,0.999805,299942,5120.00
10.503,0.999829,299949,5851.43
12.263,0.999854,299957,6826.67
18.111,0.999878,299964,8192.00
18.703,0.999890,299968,9102.22
19.343,0.999902,299971,10240.00
21.343,0.999915,299975,11702.86
26.239,0.999927,299979,13653.33
29.535,0.999939,299982,16384.00
32.367,0.999945,299984,18204.44
36.991,0.999951,299986,20480.00
41.023,0.999957,299988,23405.71
56.799,0.999963,299990,27306.67
61.023,0.999969,299991,32768.00
67.327,0.999973,299992,36408.89
73.279,0.999976,299993,40960.00
77.119,0.999979,299994,46811.43
78.143,0.999982,299995,54613.33
186.751,0.999985,299996,65536.00
186.751,0.999986,299996,72817.78
227.583,0.999988,299997,81920.00
227.583,0.999989,299997,93622.86
231.167,0.999991,299998,109226.67
231.167,0.999992,299998,131072.00
231.167,0.999993,299998,145635.56
268.799,0.999994,299999,163840.00
268.799,0.999995,299999,187245.71
268.799,0.999995,299999,218453.33
268.799,0.999996,299999,262144.00
268.799,0.999997,299999,291271.11
318.463,0.999997,300000,327680.00
318.463,1.000000,300000,inf
