Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,153661,1.00
0.001,0.100000,153661,1.11
0.001,0.200000,153661,1.25
0.001,0.300000,153661,1.43
0.001,0.400000,153661,1.67
0.001,0.500000,153661,2.00
0.037,0.550000,165558,2.22
0.078,0.600000,181430,2.50
0.129,0.650000,195331,2.86
0.208,0.700000,210362,3.33
0.319,0.750000,225232,4.00
0.399,0.775000,232868,4.44
0.498,0.800000,240055,5.00
0.599,0.825000,247835,5.71
0.730,0.850000,255050,6.67
7.715,0.875000,262500,8.00
42.591,0.887500,266250,8.89
63.167,0.900000,270159,10.00
63.455,0.912500,274170,11.43
63.647,0.925000,277906,13.33
63.807,0.937500,281511,16.00
63.871,0.943750,283382,17.78
63.935,0.950000,285780,20.00
63.999,0.956250,287844,22.86
64.031,0.962500,288791,26.67
64.095,0.968750,290799,32.00
64.159,0.971875,292254,35.56
64.191,0.975000,292883,40.00
64.223,0.978125,293655,45.71
64.287,0.981250,294689,53.33
64.351,0.984375,295571,64.00
64.383,0.985938,296035,71.11
64.415,0.987500,296392,80.00
64.479,0.989062,296969,91.43
64.511,0.990625,297223,106.67
64.575,0.992188,297701,128.00
64.607,0.992969,297893,142.22
64.703,0.993750,298227,160.00
64.767,0.994531,298379,182.86
64.895,0.995313,298613,213.33
65.343,0.996094,298830,256.00
70.975,0.996484,298946,284.44
87.103,0.996875,299063,320.00
115.647,0.997266,299181,365.71
137.343,0.997656,299297,426.67
171.647,0.998047,299415,512.00
188.799,0.998242,299473,568.89
225.151,0.998437,299532,640.00
274.687,0.998633,299590,731.43
322.047,0.998828,299649,853.33
362.239,0.999023,299708,1024.00
375.295,0.999121,299737,1137.78
386.815,0.999219,299766,1280.00
408.831,0.999316,299795,1462.86
434.175,0.999414,299825,1706.67
472.063,0.999512,299854,2048.00
492.287,0.999561,299869,2275.56
503.551,0.999609,299883,2560.00
538.623,0.999658,299899,2925.71
562.687,0.999707,299913,3413.33
580.607,0.999756,299927,4096.00
591.871,0.999780,299935,4551.11
611.327,0.999805,299942,5120.00
626.687,0.999829,299949,5851.43
648.703,0.999854,299957,6826.67
664.575,0.999878,299964,8192.00
675.839,0.999890,299968,9102.22
679.423,0.999902,299972,10240.00
691.711,0.999915,299975,11702.86
703.999,0.999927,299979,13653.33
737.279,0.999939,299982,16384.00
771.071,0.999945,299984,18204.44
818.687,0.999951,299986,20480.00
840.703,0.999957,299988,23405.71
845.823,0.999963,299990,27306.67
847.359,0.999969,299991,32768.00
865.279,0.999973,299992,36408.89
879.615,0.999976,299993,40960.00
883.711,0.999979,299994,46811.43
884.735,0.999982,299995,54613.33
919.039,0.999985,299996,65536.00
919.039,0.999986,299996,72817.78
936.959,0.999988,299997,81920.00
936.959,0.999989,299997,93622.86
953.343,0.999991,299998,109226.67
953.343,0.999992,299998,131072.00
953.343,0.999993,299998,145635.56
970.751,0.999994,299999,163840.00
970.751,0.999995,299999,187245.71
970.751,0.999995,299999,218453.33
970.751,0.999996,299999,262144.00
970.751,0.999997,299999,291271.11
990.207,0.999997,300000,327680.00
990.207,1.000000,300000,inf
