Value,Percentile,TotalCount,1/(1-Percentile)
0.671,0.000000,1,1.00
3.577,0.100000,33054,1.11
3.617,0.200000,61650,1.25
3.657,0.300000,93746,1.43
3.699,0.400000,120992,1.67
3.737,0.500000,155365,2.00
3.749,0.550000,165400,2.22
3.777,0.600000,182253,2.50
3.797,0.650000,197149,2.86
3.817,0.700000,213209,3.33
3.839,0.750000,227475,4.00
3.849,0.775000,233708,4.44
3.867,0.800000,241262,5.00
3.879,0.825000,249138,5.71
3.889,0.850000,255667,6.67
3.907,0.875000,263080,8.00
3.917,0.887500,267477,8.89
3.919,0.900000,270258,10.00
3.929,0.912500,274695,11.43
3.939,0.925000,278462,13.33
3.949,0.937500,281540,16.00
3.959,0.943750,285701,17.78
3.959,0.950000,285701,20.00
3.969,0.956250,289057,22.86
3.969,0.962500,289057,26.67
3.979,0.968750,291186,32.00
3.987,0.971875,291737,35.56
3.989,0.975000,293234,40.00
3.997,0.978125,293512,45.71
3.999,0.981250,294483,53.33
4.009,0.984375,295702,64.00
4.017,0.985938,295868,71.11
4.019,0.987500,296596,80.00
4.029,0.989062,297093,91.43
4.039,0.990625,297418,106.67
4.049,0.992188,297716,128.00
4.059,0.992969,297967,142.22
4.069,0.993750,298179,160.00
4.089,0.994531,298425,182.86
4.111,0.995313,298596,213.33
4.171,0.996094,298847,256.00
4.211,0.996484,298968,284.44
4.271,0.996875,299093,320.00
4.319,0.997266,299196,365.71
4.391,0.997656,299302,426.67
4.491,0.998047,299423,512.00
4.551,0.998242,299480,568.89
4.619,0.998437,299540,640.00
4.691,0.998633,299591,731.43
4.771,0.998828,299651,853.33
4.899,0.999023,299708,1024.00
4.971,0.999121,299738,1137.78
5.043,0.999219,299768,1280.00
5.123,0.999316,299799,1462.86
5.211,0.999414,299827,1706.67
5.383,0.999512,299856,2048.00
5.463,0.999561,299870,2275.56
5.571,0.999609,299883,2560.00
5.671,0.999658,299898,2925.71
5.791,0.999707,299913,3413.33
5.983,0.999756,299927,4096.00
6.223,0.999780,299935,4551.11
6.383,0.999805,299942,5120.00
6.563,0.999829,299949,5851.43
6.795,0.999854,299958,6826.67
6.955,0.999878,299964,8192.00
7.147,0.999890,299968,9102.22
7.415,0.999902,299971,10240.00
7.747,0.999915,299975,11702.86
8.975,0.999927,299979,13653.33
9.495,0.999939,299982,16384.00
9.839,0.999945,299984,18204.44
10.615,0.999951,299986,20480.00
11.415,0.999957,299988,23405.71
12.847,0.999963,299990,27306.67
14.679,0.999969,299991,32768.00
14.919,0.999973,299992,36408.89
15.271,0.999976,299993,40960.00
15.471,0.999979,299994,46811.43
17.535,0.999982,299995,54613.33
17.567,0.999985,299996,65536.00
17.567,0.999986,299996,72817.78
21.935,0.999988,299997,81920.00
21.935,0.999989,299997,93622.86
25.199,0.999991,299998,109226.67
25.199,0.999992,299998,131072.00
25.199,0.999993,299998,145635.56
26.511,0.999994,299999,163840.00
26.511,0.999995,299999,187245.71
26.511,0.999995,299999,218453.33
26.511,0.999996,299999,262144.00
26.511,0.999997,299999,291271.11
40.159,0.999997,300000,327680.00
40.159,1.000000,300000,inf
