Value,Percentile,TotalCount,1/(1-Percentile)
2.931,0.000000,1,1.00
12.335,0.100000,31022,1.11
12.471,0.200000,60279,1.25
12.591,0.300000,90984,1.43
12.671,0.400000,120952,1.67
12.743,0.500000,151240,2.00
12.783,0.550000,168110,2.22
12.815,0.600000,180991,2.50
12.855,0.650000,195581,2.86
12.911,0.700000,212051,3.33
12.967,0.750000,225376,4.00
12.999,0.775000,232511,4.44
13.039,0.800000,241505,5.00
13.071,0.825000,248698,5.71
13.103,0.850000,255905,6.67
13.135,0.875000,263026,8.00
13.151,0.887500,266534,8.89
13.175,0.900000,271710,10.00
13.191,0.912500,275096,11.43
13.207,0.925000,278152,13.33
13.231,0.937500,282189,16.00
13.239,0.943750,283339,17.78
13.255,0.950000,285426,20.00
13.271,0.956250,287139,22.86
13.295,0.962500,289286,26.67
13.319,0.968750,290714,32.00
13.343,0.971875,291680,35.56
13.375,0.975000,292616,40.00
13.415,0.978125,293473,45.71
13.471,0.981250,294425,53.33
13.535,0.984375,295370,64.00
13.567,0.985938,295849,71.11
13.599,0.987500,296275,80.00
13.639,0.989062,296775,91.43
13.679,0.990625,297197,106.67
13.735,0.992188,297692,128.00
13.767,0.992969,297935,142.22
13.815,0.993750,298151,160.00
13.919,0.994531,298361,182.86
14.119,0.995313,298596,213.33
14.463,0.996094,298829,256.00
14.647,0.996484,298950,284.44
14.871,0.996875,299066,320.00
15.119,0.997266,299183,365.71
15.455,0.997656,299298,426.67
15.799,0.998047,299416,512.00
15.951,0.998242,299473,568.89
16.119,0.998437,299532,640.00
16.255,0.998633,299592,731.43
16.399,0.998828,299650,853.33
16.703,0.999023,299709,1024.00
17.071,0.999121,299737,1137.78
17.535,0.999219,299766,1280.00
18.063,0.999316,299796,1462.86
18.479,0.999414,299826,1706.67
18.703,0.999512,299856,2048.00
18.815,0.999561,299869,2275.56
18.943,0.999609,299883,2560.00
19.055,0.999658,299898,2925.71
19.167,0.999707,299913,3413.33
19.279,0.999756,299927,4096.00
19.343,0.999780,299935,4551.11
19.407,0.999805,299945,5120.00
19.455,0.999829,299949,5851.43
19.519,0.999854,299958,6826.67
19.647,0.999878,299966,8192.00
19.855,0.999890,299968,9102.22
19.887,0.999902,299971,10240.00
20.943,0.999915,299975,11702.86
21.503,0.999927,299979,13653.33
21.775,0.999939,299983,16384.00
21.951,0.999945,299984,18204.44
22.447,0.999951,299986,20480.00
23.279,0.999957,299988,23405.71
24.303,0.999963,299990,27306.67
24.943,0.999969,299991,32768.00
25.391,0.999973,299992,36408.89
25.663,0.999976,299993,40960.00
26.111,0.999979,299994,46811.43
27.359,0.999982,299995,54613.33
27.663,0.999985,299996,65536.00
27.663,0.999986,299996,72817.78
29.615,0.999988,299997,81920.00
29.615,0.999989,299997,93622.86
36.671,0.999991,299998,109226.67
36.671,0.999992,299998,131072.00
36.671,0.999993,299998,145635.56
39.039,0.999994,299999,163840.00
39.039,0.999995,299999,187245.71
39.039,0.999995,299999,218453.33
39.039,0.999996,299999,262144.00
39.039,0.999997,299999,291271.11
80.639,0.999997,300000,327680.00
80.639,1.000000,300000,inf
