Value,Percentile,TotalCount,1/(1-Percentile)
0.030,0.000000,390,1.00
0.040,0.100000,5046,1.11
0.040,0.200000,5046,1.25
0.040,0.300000,5046,1.43
0.050,0.400000,11873,1.67
0.050,0.500000,11873,2.00
0.050,0.550000,11873,2.22
0.050,0.600000,11873,2.50
0.050,0.650000,11873,2.86
0.050,0.700000,11873,3.33
0.050,0.750000,11873,4.00
0.050,0.775000,11873,4.44
0.051,0.800000,12559,5.00
0.051,0.825000,12559,5.71
0.060,0.850000,13302,6.67
0.060,0.875000,13302,8.00
0.061,0.887500,13426,8.89
0.070,0.900000,14183,10.00
0.070,0.912500,14183,11.43
0.070,0.925000,14183,13.33
0.070,0.937500,14183,16.00
0.070,0.943750,14183,17.78
0.071,0.950000,14288,20.00
0.080,0.956250,14486,22.86
0.080,0.962500,14486,26.67
0.090,0.968750,14548,32.00
0.100,0.971875,14596,35.56
0.110,0.975000,14629,40.00
0.121,0.978125,14673,45.71
0.140,0.981250,14749,53.33
0.150,0.984375,14771,64.00
0.160,0.985938,14796,71.11
0.170,0.987500,14827,80.00
0.171,0.989062,14839,91.43
0.180,0.990625,14864,106.67
0.190,0.992188,14887,128.00
0.200,0.992969,14899,142.22
0.210,0.993750,14909,160.00
0.220,0.994531,14919,182.86
0.230,0.995313,14930,213.33
0.250,0.996094,14942,256.00
0.261,0.996484,14948,284.44
0.271,0.996875,14959,320.00
0.271,0.997266,14959,365.71
0.281,0.997656,14966,426.67
0.300,0.998047,14972,512.00
0.301,0.998242,14974,568.89
0.311,0.998437,14978,640.00
0.320,0.998633,14980,731.43
0.330,0.998828,14983,853.33
0.351,0.999023,14986,1024.00
0.371,0.999121,14987,1137.78
0.411,0.999219,14989,1280.00
0.440,0.999316,14990,1462.86
0.450,0.999414,14992,1706.67
0.461,0.999512,14993,2048.00
0.471,0.999561,14994,2275.56
0.491,0.999609,14995,2560.00
0.491,0.999658,14995,2925.71
0.641,0.999707,14996,3413.33
0.661,0.999756,14997,4096.00
0.661,0.999780,14997,4551.11
0.712,0.999805,14998,5120.00
0.712,0.999829,14998,5851.43
0.712,0.999854,14998,6826.67
0.902,0.999878,14999,8192.00
0.902,0.999890,14999,9102.22
0.902,0.999902,14999,10240.00
0.902,0.999915,14999,11702.86
0.902,0.999927,14999,13653.33
19.535,0.999939,15000,16384.00
19.535,1.000000,15000,inf
