Value,Percentile,TotalCount,1/(1-Percentile)
2.651,0.000000,1,1.00
2.877,0.100000,1528,1.11
2.943,0.200000,3016,1.25
3.035,0.300000,4503,1.43
12.799,0.400000,6000,1.67
12.927,0.500000,7579,2.00
12.967,0.550000,8382,2.22
12.999,0.600000,9003,2.50
13.039,0.650000,9816,2.86
13.079,0.700000,10570,3.33
13.119,0.750000,11316,4.00
13.135,0.775000,11628,4.44
13.159,0.800000,12065,5.00
13.183,0.825000,12457,5.71
13.207,0.850000,12805,6.67
13.231,0.875000,13127,8.00
13.247,0.887500,13351,8.89
13.263,0.900000,13514,10.00
13.287,0.912500,13749,11.43
13.311,0.925000,13932,13.33
13.335,0.937500,14102,16.00
13.351,0.943750,14180,17.78
13.375,0.950000,14268,20.00
13.415,0.956250,14354,22.86
13.471,0.962500,14449,26.67
13.559,0.968750,14537,32.00
13.599,0.971875,14585,35.56
13.639,0.975000,14635,40.00
13.687,0.978125,14678,45.71
13.743,0.981250,14721,53.33
13.807,0.984375,14766,64.00
13.839,0.985938,14791,71.11
13.879,0.987500,14813,80.00
13.951,0.989062,14836,91.43
14.087,0.990625,14861,106.67
14.319,0.992188,14884,128.00
14.407,0.992969,14895,142.22
14.575,0.993750,14908,160.00
14.711,0.994531,14919,182.86
14.895,0.995313,14930,213.33
15.119,0.996094,14943,256.00
15.207,0.996484,14948,284.44
15.343,0.996875,14955,320.00
15.423,0.997266,14959,365.71
15.543,0.997656,14966,426.67
15.639,0.998047,14971,512.00
15.719,0.998242,14974,568.89
15.743,0.998437,14977,640.00
15.855,0.998633,14980,731.43
16.135,0.998828,14983,853.33
16.511,0.999023,14986,1024.00
16.527,0.999121,14987,1137.78
16.719,0.999219,14989,1280.00
16.815,0.999316,14990,1462.86
17.503,0.999414,14992,1706.67
17.935,0.999512,14993,2048.00
19.231,0.999561,14994,2275.56
19.407,0.999609,14995,2560.00
19.407,0.999658,14995,2925.71
20.047,0.999707,14996,3413.33
20.287,0.999756,14997,4096.00
20.287,0.999780,14997,4551.11
21.359,0.999805,14998,5120.00
21.359,0.999829,14998,5851.43
21.359,0.999854,14998,6826.67
28.143,0.999878,14999,8192.00
28.143,0.999890,14999,9102.22
28.143,0.999902,14999,10240.00
28.143,0.999915,14999,11702.86
28.143,0.999927,14999,13653.33
32.191,0.999939,15000,16384.00
32.191,1.000000,15000,inf
