Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,7533,1.00
0.001,0.100000,7533,1.11
0.001,0.200000,7533,1.25
0.001,0.300000,7533,1.43
0.001,0.400000,7533,1.67
0.001,0.500000,7533,2.00
0.043,0.550000,8331,2.22
0.093,0.600000,9051,2.50
0.163,0.650000,9800,2.86
0.273,0.700000,10504,3.33
0.644,0.750000,11257,4.00
9.495,0.775000,11630,4.44
9.895,0.800000,12027,5.00
9.975,0.825000,12379,5.71
10.039,0.850000,12767,6.67
10.095,0.875000,13185,8.00
10.127,0.887500,13380,8.89
10.159,0.900000,13549,10.00
10.175,0.912500,13695,11.43
10.215,0.925000,13920,13.33
10.247,0.937500,14076,16.00
10.263,0.943750,14187,17.78
10.287,0.950000,14287,20.00
10.303,0.956250,14388,22.86
10.327,0.962500,14458,26.67
10.351,0.968750,14532,32.00
10.367,0.971875,14587,35.56
10.383,0.975000,14643,40.00
10.407,0.978125,14682,45.71
10.423,0.981250,14728,53.33
10.447,0.984375,14774,64.00
10.471,0.985938,14794,71.11
10.487,0.987500,14814,80.00
10.535,0.989062,14837,91.43
10.583,0.990625,14861,106.67
10.639,0.992188,14883,128.00
10.687,0.992969,14898,142.22
10.735,0.993750,14908,160.00
10.807,0.994531,14919,182.86
10.847,0.995313,14933,213.33
10.895,0.996094,14944,256.00
10.927,0.996484,14950,284.44
10.959,0.996875,14954,320.00
10.999,0.997266,14959,365.71
11.039,0.997656,14965,426.67
11.239,0.998047,14971,512.00
11.311,0.998242,14974,568.89
11.447,0.998437,14978,640.00
11.503,0.998633,14980,731.43
11.631,0.998828,14983,853.33
11.759,0.999023,14986,1024.00
11.831,0.999121,14987,1137.78
12.039,0.999219,14989,1280.00
12.047,0.999316,14990,1462.86
12.407,0.999414,14992,1706.67
12.447,0.999512,14993,2048.00
13.719,0.999561,14994,2275.56
13.735,0.999609,14995,2560.00
13.735,0.999658,14995,2925.71
13.767,0.999707,14996,3413.33
15.095,0.999756,14997,4096.00
15.095,0.999780,14997,4551.11
16.927,0.999805,14998,5120.00
16.927,0.999829,14998,5851.43
16.927,0.999854,14998,6826.67
17.279,0.999878,14999,8192.00
17.279,0.999890,14999,9102.22
17.279,0.999902,14999,10240.00
17.279,0.999915,14999,11702.86
17.279,0.999927,14999,13653.33
26.591,0.999939,15000,16384.00
26.591,1.000000,15000,inf
