Value,Percentile,TotalCount,1/(1-Percentile)
0.200,0.000000,1,1.00
0.892,0.100000,1560,1.11
0.982,0.200000,3561,1.25
0.992,0.300000,4927,1.43
1.032,0.400000,6128,1.67
1.072,0.500000,7830,2.00
1.082,0.550000,8448,2.22
1.102,0.600000,9115,2.50
1.122,0.650000,9941,2.86
1.143,0.700000,10536,3.33
1.192,0.750000,11301,4.00
1.213,0.775000,11666,4.44
1.233,0.800000,12035,5.00
1.253,0.825000,12399,5.71
1.303,0.850000,12787,6.67
1.353,0.875000,13144,8.00
1.363,0.887500,13359,8.89
1.373,0.900000,13525,10.00
1.393,0.912500,13701,11.43
1.422,0.925000,13886,13.33
1.443,0.937500,14152,16.00
1.452,0.943750,14172,17.78
1.463,0.950000,14270,20.00
1.483,0.956250,14358,22.86
1.532,0.962500,14438,26.67
1.563,0.968750,14555,32.00
1.573,0.971875,14582,35.56
1.594,0.975000,14626,40.00
1.614,0.978125,14672,45.71
1.653,0.981250,14732,53.33
1.683,0.984375,14768,64.00
1.713,0.985938,14798,71.11
1.734,0.987500,14813,80.00
1.773,0.989062,14836,91.43
1.803,0.990625,14862,106.67
1.853,0.992188,14883,128.00
1.894,0.992969,14895,142.22
1.934,0.993750,14907,160.00
1.974,0.994531,14918,182.86
2.024,0.995313,14930,213.33
2.095,0.996094,14942,256.00
2.165,0.996484,14948,284.44
2.265,0.996875,14954,320.00
2.355,0.997266,14959,365.71
2.585,0.997656,14965,426.67
3.007,0.998047,14971,512.00
3.587,0.998242,14974,568.89
3.807,0.998437,14977,640.00
3.967,0.998633,14980,731.43
4.391,0.998828,14983,853.33
5.303,0.999023,14986,1024.00
5.351,0.999121,14987,1137.78
5.943,0.999219,14989,1280.00
5.975,0.999316,14990,1462.86
6.575,0.999414,14992,1706.67
6.907,0.999512,14993,2048.00
7.227,0.999561,14994,2275.56
7.727,0.999609,14995,2560.00
7.727,0.999658,14995,2925.71
11.407,0.999707,14996,3413.33
24.495,0.999756,14997,4096.00
24.495,0.999780,14997,4551.11
26.799,0.999805,14998,5120.00
26.799,0.999829,14998,5851.43
26.799,0.999854,14998,6826.67
29.951,0.999878,14999,8192.00
29.951,0.999890,14999,9102.22
29.951,0.999902,14999,10240.00
29.951,0.999915,14999,11702.86
29.951,0.999927,14999,13653.33
36.959,0.999939,15000,16384.00
36.959,1.000000,15000,inf
