Value,Percentile,TotalCount,1/(1-Percentile)
18.991,0.000000,1,1.00
46.335,0.100000,1505,1.11
58.303,0.200000,3000,1.25
70.207,0.300000,4502,1.43
416.255,0.400000,6002,1.67
421.887,0.500000,7589,2.00
422.655,0.550000,8272,2.22
428.543,0.600000,9008,2.50
448.511,0.650000,9750,2.86
478.975,0.700000,10513,3.33
503.807,0.750000,11254,4.00
541.695,0.775000,11629,4.44
684.031,0.800000,12004,5.00
685.567,0.825000,12411,5.71
686.079,0.850000,12753,6.67
687.103,0.875000,13231,8.00
688.639,0.887500,13330,8.89
694.271,0.900000,13510,10.00
703.487,0.912500,13688,11.43
716.799,0.925000,13886,13.33
735.231,0.937500,14065,16.00
777.215,0.943750,14157,17.78
857.599,0.950000,14250,20.00
890.879,0.956250,14348,22.86
905.727,0.962500,14440,26.67
911.871,0.968750,14540,32.00
914.431,0.971875,14587,35.56
916.479,0.975000,14627,40.00
921.087,0.978125,14672,45.71
929.791,0.981250,14720,53.33
936.447,0.984375,14772,64.00
937.983,0.985938,14793,71.11
940.031,0.987500,14817,80.00
941.567,0.989062,14842,91.43
945.663,0.990625,14862,106.67
953.343,0.992188,14883,128.00
964.607,0.992969,14895,142.22
970.751,0.993750,14908,160.00
975.871,0.994531,14918,182.86
985.599,0.995313,14930,213.33
1016.831,0.996094,14942,256.00
1025.023,0.996484,14948,284.44
1041.919,0.996875,14954,320.00
1053.695,0.997266,14959,365.71
1080.319,0.997656,14965,426.67
1104.895,0.998047,14971,512.00
1116.159,0.998242,14974,568.89
1129.471,0.998437,14977,640.00
1135.615,0.998633,14980,731.43
1144.831,0.998828,14983,853.33
1156.095,0.999023,14986,1024.00
1158.143,0.999121,14987,1137.78
1163.263,0.999219,14989,1280.00
1181.695,0.999316,14990,1462.86
1190.911,0.999414,14993,1706.67
1190.911,0.999512,14993,2048.00
1209.343,0.999561,14994,2275.56
1211.391,0.999609,14995,2560.00
1211.391,0.999658,14995,2925.71
1214.463,0.999707,14996,3413.33
1224.703,0.999756,14997,4096.00
1224.703,0.999780,14997,4551.11
1225.727,0.999805,14998,5120.00
1225.727,0.999829,14998,5851.43
1225.727,0.999854,14998,6826.67
1239.039,0.999878,14999,8192.00
1239.039,0.999890,14999,9102.22
1239.039,0.999902,14999,10240.00
1239.039,0.999915,14999,11702.86
1239.039,0.999927,14999,13653.33
1241.087,0.999939,15000,16384.00
1241.087,1.000000,15000,inf
