Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,8004,1.00
0.001,0.100000,8004,1.11
0.001,0.200000,8004,1.25
0.001,0.300000,8004,1.43
0.001,0.400000,8004,1.67
0.001,0.500000,8004,2.00
0.534,0.550000,8250,2.22
4.443,0.600000,9000,2.50
14.639,0.650000,9750,2.86
22.639,0.700000,10500,3.33
55.327,0.750000,11252,4.00
99.711,0.775000,11625,4.44
185.087,0.800000,12000,5.00
258.943,0.825000,12376,5.71
263.679,0.850000,12779,6.67
265.215,0.875000,13157,8.00
265.983,0.887500,13330,8.89
267.263,0.900000,13503,10.00
274.687,0.912500,13688,11.43
290.815,0.925000,13875,13.33
345.343,0.937500,14063,16.00
382.719,0.943750,14157,17.78
421.887,0.950000,14252,20.00
425.471,0.956250,14345,22.86
431.871,0.962500,14438,26.67
447.487,0.968750,14532,32.00
466.431,0.971875,14580,35.56
476.159,0.975000,14626,40.00
482.303,0.978125,14672,45.71
487.679,0.981250,14720,53.33
501.503,0.984375,14766,64.00
511.743,0.985938,14791,71.11
516.095,0.987500,14814,80.00
517.887,0.989062,14841,91.43
519.423,0.990625,14861,106.67
530.943,0.992188,14883,128.00
539.135,0.992969,14895,142.22
553.983,0.993750,14907,160.00
560.639,0.994531,14920,182.86
593.407,0.995313,14930,213.33
630.271,0.996094,14942,256.00
635.391,0.996484,14948,284.44
645.119,0.996875,14954,320.00
651.775,0.997266,14960,365.71
657.407,0.997656,14965,426.67
664.063,0.998047,14971,512.00
667.135,0.998242,14974,568.89
676.863,0.998437,14977,640.00
681.983,0.998633,14980,731.43
693.759,0.998828,14983,853.33
771.071,0.999023,14986,1024.00
783.359,0.999121,14987,1137.78
790.527,0.999219,14989,1280.00
792.063,0.999316,14990,1462.86
804.351,0.999414,14992,1706.67
814.591,0.999512,14993,2048.00
878.591,0.999561,14994,2275.56
901.631,0.999609,14995,2560.00
901.631,0.999658,14995,2925.71
913.919,0.999707,14996,3413.33
1047.039,0.999756,14997,4096.00
1047.039,0.999780,14997,4551.11
1087.487,0.999805,14998,5120.00
1087.487,0.999829,14998,5851.43
1087.487,0.999854,14998,6826.67
1088.511,0.999878,14999,8192.00
1088.511,0.999890,14999,9102.22
1088.511,0.999902,14999,10240.00
1088.511,0.999915,14999,11702.86
1088.511,0.999927,14999,13653.33
1114.111,0.999939,15000,16384.00
1114.111,1.000000,15000,inf
