Value,Percentile,TotalCount,1/(1-Percentile)
0.020,0.000000,16,1.00
0.030,0.100000,4855,1.11
0.030,0.200000,4855,1.25
0.030,0.300000,4855,1.43
0.040,0.400000,7273,1.67
0.050,0.500000,9751,2.00
0.050,0.550000,9751,2.22
0.050,0.600000,9751,2.50
0.050,0.650000,9751,2.86
0.060,0.700000,12454,3.33
0.060,0.750000,12454,4.00
0.060,0.775000,12454,4.44
0.060,0.800000,12454,5.00
0.060,0.825000,12454,5.71
0.061,0.850000,12796,6.67
0.070,0.875000,13682,8.00
0.070,0.887500,13682,8.89
0.070,0.900000,13682,10.00
0.071,0.912500,13836,11.43
0.080,0.925000,14405,13.33
0.080,0.937500,14405,16.00
0.080,0.943750,14405,17.78
0.080,0.950000,14405,20.00
0.080,0.956250,14405,22.86
0.081,0.962500,14523,26.67
0.090,0.968750,14673,32.00
0.090,0.971875,14673,35.56
0.090,0.975000,14673,40.00
0.090,0.978125,14673,45.71
0.100,0.981250,14794,53.33
0.100,0.984375,14794,64.00
0.100,0.985938,14794,71.11
0.110,0.987500,14828,80.00
0.120,0.989062,14842,91.43
0.150,0.990625,14872,106.67
0.160,0.992188,14884,128.00
0.170,0.992969,14897,142.22
0.180,0.993750,14910,160.00
0.190,0.994531,14920,182.86
0.201,0.995313,14931,213.33
0.211,0.996094,14942,256.00
0.231,0.996484,14951,284.44
0.241,0.996875,14954,320.00
0.260,0.997266,14962,365.71
0.261,0.997656,14965,426.67
0.280,0.998047,14971,512.00
0.290,0.998242,14974,568.89
0.300,0.998437,14977,640.00
0.311,0.998633,14983,731.43
0.311,0.998828,14983,853.33
0.350,0.999023,14986,1024.00
0.351,0.999121,14987,1137.78
0.360,0.999219,14989,1280.00
0.380,0.999316,14990,1462.86
0.411,0.999414,14992,1706.67
0.421,0.999512,14993,2048.00
0.441,0.999561,14994,2275.56
0.461,0.999609,14995,2560.00
0.461,0.999658,14995,2925.71
0.491,0.999707,14996,3413.33
0.651,0.999756,14997,4096.00
0.651,0.999780,14997,4551.11
0.672,0.999805,14998,5120.00
0.672,0.999829,14998,5851.43
0.672,0.999854,14998,6826.67
0.781,0.999878,14999,8192.00
0.781,0.999890,14999,9102.22
0.781,0.999902,14999,10240.00
0.781,0.999915,14999,11702.86
0.781,0.999927,14999,13653.33
1.683,0.999939,15000,16384.00
1.683,1.000000,15000,inf
