Value,Percentile,TotalCount,1/(1-Percentile)
3.617,0.000000,1,1.00
13.367,0.100000,1502,1.11
13.535,0.200000,3058,1.25
13.647,0.300000,4617,1.43
13.735,0.400000,6116,1.67
13.823,0.500000,7537,2.00
13.871,0.550000,8270,2.22
13.927,0.600000,9011,2.50
13.999,0.650000,9794,2.86
14.071,0.700000,10582,3.33
14.135,0.750000,11253,4.00
14.175,0.775000,11673,4.44
14.215,0.800000,12013,5.00
14.271,0.825000,12403,5.71
14.351,0.850000,12750,6.67
14.503,0.875000,13126,8.00
14.631,0.887500,13318,8.89
14.951,0.900000,13500,10.00
17.663,0.912500,13688,11.43
21.231,0.925000,13876,13.33
21.663,0.937500,14069,16.00
22.079,0.943750,14158,17.78
22.239,0.950000,14258,20.00
22.383,0.956250,14354,22.86
22.495,0.962500,14444,26.67
22.639,0.968750,14536,32.00
22.751,0.971875,14587,35.56
22.991,0.975000,14626,40.00
24.911,0.978125,14672,45.71
66.495,0.981250,14719,53.33
85.247,0.984375,14767,64.00
85.503,0.985938,14793,71.11
85.759,0.987500,14816,80.00
85.951,0.989062,14840,91.43
86.143,0.990625,14866,106.67
86.271,0.992188,14894,128.00
86.335,0.992969,14901,142.22
86.399,0.993750,14916,160.00
86.463,0.994531,14925,182.86
86.527,0.995313,14938,213.33
86.591,0.996094,14947,256.00
86.655,0.996484,14959,284.44
86.655,0.996875,14959,320.00
86.655,0.997266,14959,365.71
86.719,0.997656,14966,426.67
86.783,0.998047,14971,512.00
86.847,0.998242,14975,568.89
86.911,0.998437,14978,640.00
87.359,0.998633,14980,731.43
125.119,0.998828,14983,853.33
207.487,0.999023,14986,1024.00
221.311,0.999121,14987,1137.78
268.799,0.999219,14989,1280.00
271.103,0.999316,14990,1462.86
334.591,0.999414,14992,1706.67
353.023,0.999512,14993,2048.00
358.655,0.999561,14994,2275.56
375.551,0.999609,14995,2560.00
375.551,0.999658,14995,2925.71
404.735,0.999707,14996,3413.33
445.183,0.999756,14997,4096.00
445.183,0.999780,14997,4551.11
447.743,0.999805,14998,5120.00
447.743,0.999829,14998,5851.43
447.743,0.999854,14998,6826.67
521.727,0.999878,14999,8192.00
521.727,0.999890,14999,9102.22
521.727,0.999902,14999,10240.00
521.727,0.999915,14999,11702.86
521.727,0.999927,14999,13653.33
936.959,0.999939,15000,16384.00
936.959,1.000000,15000,inf
