Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,7377,1.00
0.001,0.100000,7377,1.11
0.001,0.200000,7377,1.25
0.001,0.300000,7377,1.43
0.001,0.400000,7377,1.67
0.037,0.500000,7504,2.00
0.123,0.550000,8272,2.22
0.168,0.600000,9076,2.50
0.203,0.650000,9756,2.86
0.258,0.700000,10510,3.33
0.368,0.750000,11250,4.00
0.433,0.775000,11633,4.44
0.519,0.800000,12007,5.00
0.669,0.825000,12378,5.71
0.800,0.850000,12750,6.67
0.889,0.875000,13128,8.00
0.989,0.887500,13314,8.89
1.395,0.900000,13503,10.00
6.583,0.912500,13688,11.43
7.467,0.925000,13876,13.33
8.043,0.937500,14063,16.00
8.279,0.943750,14157,17.78
8.455,0.950000,14250,20.00
8.631,0.956250,14349,22.86
8.831,0.962500,14439,26.67
9.095,0.968750,14532,32.00
9.271,0.971875,14580,35.56
9.511,0.975000,14626,40.00
12.583,0.978125,14672,45.71
52.447,0.981250,14719,53.33
71.423,0.984375,14771,64.00
71.679,0.985938,14792,71.11
71.935,0.987500,14816,80.00
72.127,0.989062,14842,91.43
72.255,0.990625,14862,106.67
72.511,0.992188,14897,128.00
72.511,0.992969,14897,142.22
72.575,0.993750,14907,160.00
72.703,0.994531,14919,182.86
72.831,0.995313,14933,213.33
72.959,0.996094,14951,256.00
72.959,0.996484,14951,284.44
73.023,0.996875,14955,320.00
73.087,0.997266,14961,365.71
73.151,0.997656,14969,426.67
73.279,0.998047,14971,512.00
73.343,0.998242,14974,568.89
73.471,0.998437,14978,640.00
73.599,0.998633,14980,731.43
111.167,0.998828,14983,853.33
193.535,0.999023,14986,1024.00
207.743,0.999121,14987,1137.78
255.487,0.999219,14989,1280.00
257.023,0.999316,14990,1462.86
321.023,0.999414,14992,1706.67
338.943,0.999512,14993,2048.00
345.087,0.999561,14994,2275.56
361.727,0.999609,14995,2560.00
361.727,0.999658,14995,2925.71
391.167,0.999707,14996,3413.33
431.359,0.999756,14997,4096.00
431.359,0.999780,14997,4551.11
433.919,0.999805,14998,5120.00
433.919,0.999829,14998,5851.43
433.919,0.999854,14998,6826.67
507.903,0.999878,14999,8192.00
507.903,0.999890,14999,9102.22
507.903,0.999902,14999,10240.00
507.903,0.999915,14999,11702.86
507.903,0.999927,14999,13653.33
923.647,0.999939,15000,16384.00
923.647,1.000000,15000,inf
