Value,Percentile,TotalCount,1/(1-Percentile)
0.030,0.000000,3336,1.00
0.030,0.100000,3336,1.11
0.030,0.200000,3336,1.25
0.040,0.300000,7433,1.43
0.040,0.400000,7433,1.67
0.041,0.500000,7735,2.00
0.050,0.550000,11092,2.22
0.050,0.600000,11092,2.50
0.050,0.650000,11092,2.86
0.050,0.700000,11092,3.33
0.051,0.750000,11430,4.00
0.060,0.775000,12765,4.44
0.060,0.800000,12765,5.00
0.060,0.825000,12765,5.71
0.060,0.850000,12765,6.67
0.070,0.875000,13646,8.00
0.070,0.887500,13646,8.89
0.070,0.900000,13646,10.00
0.071,0.912500,13774,11.43
0.080,0.925000,14349,13.33
0.080,0.937500,14349,16.00
0.080,0.943750,14349,17.78
0.080,0.950000,14349,20.00
0.080,0.956250,14349,22.86
0.081,0.962500,14452,26.67
0.090,0.968750,14653,32.00
0.090,0.971875,14653,35.56
0.090,0.975000,14653,40.00
0.091,0.978125,14692,45.71
0.100,0.981250,14741,53.33
0.110,0.984375,14787,64.00
0.111,0.985938,14795,71.11
0.121,0.987500,14814,80.00
0.140,0.989062,14844,91.43
0.150,0.990625,14861,106.67
0.160,0.992188,14884,128.00
0.170,0.992969,14898,142.22
0.180,0.993750,14914,160.00
0.181,0.994531,14920,182.86
0.200,0.995313,14933,213.33
0.211,0.996094,14943,256.00
0.221,0.996484,14949,284.44
0.231,0.996875,14955,320.00
0.250,0.997266,14960,365.71
0.261,0.997656,14965,426.67
0.271,0.998047,14971,512.00
0.280,0.998242,14975,568.89
0.281,0.998437,14979,640.00
0.290,0.998633,14981,731.43
0.291,0.998828,14983,853.33
0.311,0.999023,14986,1024.00
0.320,0.999121,14987,1137.78
0.351,0.999219,14989,1280.00
0.371,0.999316,14990,1462.86
0.401,0.999414,14993,1706.67
0.401,0.999512,14993,2048.00
0.411,0.999561,14994,2275.56
0.420,0.999609,14995,2560.00
0.420,0.999658,14995,2925.71
0.521,0.999707,14996,3413.33
0.551,0.999756,14997,4096.00
0.551,0.999780,14997,4551.11
0.642,0.999805,14998,5120.00
0.642,0.999829,14998,5851.43
0.642,0.999854,14998,6826.67
1.183,0.999878,14999,8192.00
1.183,0.999890,14999,9102.22
1.183,0.999902,14999,10240.00
1.183,0.999915,14999,11702.86
1.183,0.999927,14999,13653.33
2.315,0.999939,15000,16384.00
2.315,1.000000,15000,inf
