Value,Percentile,TotalCount,1/(1-Percentile)
3.375,0.000000,1,1.00
3.753,0.100000,1505,1.11
4.367,0.200000,3003,1.25
13.607,0.300000,4549,1.43
13.695,0.400000,6031,1.67
13.767,0.500000,7568,2.00
13.807,0.550000,8343,2.22
13.847,0.600000,9011,2.50
13.903,0.650000,9842,2.86
13.951,0.700000,10532,3.33
14.007,0.750000,11264,4.00
14.047,0.775000,11681,4.44
14.087,0.800000,12027,5.00
14.135,0.825000,12383,5.71
14.199,0.850000,12773,6.67
14.279,0.875000,13130,8.00
14.359,0.887500,13317,8.89
14.519,0.900000,13504,10.00
17.087,0.912500,13688,11.43
20.735,0.925000,13885,13.33
20.927,0.937500,14073,16.00
20.991,0.943750,14159,17.78
21.087,0.950000,14269,20.00
21.167,0.956250,14357,22.86
21.295,0.962500,14449,26.67
21.551,0.968750,14532,32.00
24.319,0.971875,14579,35.56
49.375,0.975000,14625,40.00
77.823,0.978125,14672,45.71
84.543,0.981250,14734,53.33
84.671,0.984375,14793,64.00
84.671,0.985938,14793,71.11
84.735,0.987500,14819,80.00
84.863,0.989062,14857,91.43
84.927,0.990625,14893,106.67
84.927,0.992188,14893,128.00
84.991,0.992969,14920,142.22
84.991,0.993750,14920,160.00
84.991,0.994531,14920,182.86
85.055,0.995313,14942,213.33
85.055,0.996094,14942,256.00
85.119,0.996484,14964,284.44
85.119,0.996875,14964,320.00
85.119,0.997266,14964,365.71
85.183,0.997656,14971,426.67
85.183,0.998047,14971,512.00
85.247,0.998242,14982,568.89
85.247,0.998437,14982,640.00
85.247,0.998633,14982,731.43
85.311,0.998828,14985,853.33
85.375,0.999023,14990,1024.00
85.375,0.999121,14990,1137.78
85.375,0.999219,14990,1280.00
85.375,0.999316,14990,1462.86
85.439,0.999414,14994,1706.67
85.439,0.999512,14994,2048.00
85.439,0.999561,14994,2275.56
85.567,0.999609,14996,2560.00
85.567,0.999658,14996,2925.71
85.567,0.999707,14996,3413.33
85.631,0.999756,14997,4096.00
85.631,0.999780,14997,4551.11
85.823,0.999805,14998,5120.00
85.823,0.999829,14998,5851.43
85.823,0.999854,14998,6826.67
89.791,0.999878,14999,8192.00
89.791,0.999890,14999,9102.22
89.791,0.999902,14999,10240.00
89.791,0.999915,14999,11702.86
89.791,0.999927,14999,13653.33
97.855,0.999939,15000,16384.00
97.855,1.000000,15000,inf
