Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,7343,1.00
0.001,0.100000,7343,1.11
0.001,0.200000,7343,1.25
0.001,0.300000,7343,1.43
0.001,0.400000,7343,1.67
0.007,0.500000,7503,2.00
0.057,0.550000,8295,2.22
0.108,0.600000,9009,2.50
0.227,0.650000,9763,2.86
0.418,0.700000,10550,3.33
0.979,0.750000,11250,4.00
7.043,0.775000,11627,4.44
8.303,0.800000,12001,5.00
9.527,0.825000,12377,5.71
9.839,0.850000,12765,6.67
9.959,0.875000,13144,8.00
10.023,0.887500,13341,8.89
10.071,0.900000,13509,10.00
10.119,0.912500,13688,11.43
10.191,0.925000,13879,13.33
10.319,0.937500,14066,16.00
10.399,0.943750,14162,17.78
10.495,0.950000,14254,20.00
10.711,0.956250,14344,22.86
16.943,0.962500,14443,26.67
17.327,0.968750,14532,32.00
17.631,0.971875,14579,35.56
34.431,0.975000,14625,40.00
63.519,0.978125,14672,45.71
70.655,0.981250,14733,53.33
70.847,0.984375,14782,64.00
70.911,0.985938,14803,71.11
70.975,0.987500,14822,80.00
71.039,0.989062,14846,91.43
71.103,0.990625,14861,106.67
71.231,0.992188,14892,128.00
71.295,0.992969,14909,142.22
71.295,0.993750,14909,160.00
71.423,0.994531,14922,182.86
71.551,0.995313,14931,213.33
72.191,0.996094,14942,256.00
80.127,0.996484,14948,284.44
80.767,0.996875,14959,320.00
80.767,0.997266,14959,365.71
80.895,0.997656,14967,426.67
81.023,0.998047,14973,512.00
81.087,0.998242,14980,568.89
81.087,0.998437,14980,640.00
81.087,0.998633,14980,731.43
81.151,0.998828,14984,853.33
81.215,0.999023,14988,1024.00
81.215,0.999121,14988,1137.78
81.279,0.999219,14990,1280.00
81.279,0.999316,14990,1462.86
81.407,0.999414,14992,1706.67
81.535,0.999512,14995,2048.00
81.535,0.999561,14995,2275.56
81.535,0.999609,14995,2560.00
81.535,0.999658,14995,2925.71
81.599,0.999707,14997,3413.33
81.599,0.999756,14997,4096.00
81.599,0.999780,14997,4551.11
81.727,0.999805,14998,5120.00
81.727,0.999829,14998,5851.43
81.727,0.999854,14998,6826.67
81.919,0.999878,14999,8192.00
81.919,0.999890,14999,9102.22
81.919,0.999902,14999,10240.00
81.919,0.999915,14999,11702.86
81.919,0.999927,14999,13653.33
90.751,0.999939,15000,16384.00
90.751,1.000000,15000,inf
