Value,Percentile,TotalCount,1/(1-Percentile)
0.030,0.000000,6040,1.00
0.030,0.100000,6040,1.11
0.040,0.200000,25061,1.25
0.040,0.300000,25061,1.43
0.040,0.400000,25061,1.67
0.050,0.500000,33619,2.00
0.050,0.550000,33619,2.22
0.060,0.600000,44195,2.50
0.060,0.650000,44195,2.86
0.060,0.700000,44195,3.33
0.061,0.750000,45452,4.00
0.070,0.775000,53514,4.44
0.070,0.800000,53514,5.00
0.070,0.825000,53514,5.71
0.070,0.850000,53514,6.67
0.070,0.875000,53514,8.00
0.070,0.887500,53514,8.89
0.071,0.900000,54794,10.00
0.071,0.912500,54794,11.43
0.080,0.925000,56592,13.33
0.080,0.937500,56592,16.00
0.081,0.943750,56932,17.78
0.090,0.950000,58074,20.00
0.090,0.956250,58074,22.86
0.090,0.962500,58074,26.67
0.091,0.968750,58327,32.00
0.091,0.971875,58327,35.56
0.100,0.975000,58746,40.00
0.100,0.978125,58746,45.71
0.110,0.981250,58999,53.33
0.120,0.984375,59115,64.00
0.130,0.985938,59218,71.11
0.131,0.987500,59250,80.00
0.150,0.989062,59396,91.43
0.160,0.990625,59462,106.67
0.170,0.992188,59546,128.00
0.180,0.992969,59612,142.22
0.181,0.993750,59629,160.00
0.191,0.994531,59685,182.86
0.210,0.995313,59735,213.33
0.220,0.996094,59769,256.00
0.230,0.996484,59797,284.44
0.240,0.996875,59819,320.00
0.250,0.997266,59841,365.71
0.261,0.997656,59869,426.67
0.271,0.998047,59885,512.00
0.281,0.998242,59895,568.89
0.291,0.998437,59907,640.00
0.300,0.998633,59918,731.43
0.310,0.998828,59931,853.33
0.321,0.999023,59949,1024.00
0.321,0.999121,59949,1137.78
0.330,0.999219,59954,1280.00
0.331,0.999316,59959,1462.86
0.341,0.999414,59965,1706.67
0.361,0.999512,59971,2048.00
0.371,0.999561,59978,2275.56
0.371,0.999609,59978,2560.00
0.381,0.999658,59980,2925.71
0.411,0.999707,59983,3413.33
0.431,0.999756,59987,4096.00
0.431,0.999780,59987,4551.11
0.451,0.999805,59989,5120.00
0.471,0.999829,59990,5851.43
0.511,0.999854,59992,6826.67
0.531,0.999878,59993,8192.00
0.581,0.999890,59994,9102.22
0.582,0.999902,59995,10240.00
0.582,0.999915,59995,11702.86
0.601,0.999927,59996,13653.33
0.662,0.999939,59997,16384.00
0.662,0.999945,59997,18204.44
0.692,0.999951,59998,20480.00
0.692,0.999957,59998,23405.71
0.692,0.999963,59998,27306.67
0.701,0.999969,59999,32768.00
0.701,0.999973,59999,36408.89
0.701,0.999976,59999,40960.00
0.701,0.999979,59999,46811.43
0.701,0.999982,59999,54613.33
3.057,0.999985,60000,65536.00
3.057,1.000000,60000,inf
