Value,Percentile,TotalCount,1/(1-Percentile)
3.699,0.000000,1,1.00
3.997,0.100000,6042,1.11
4.061,0.200000,12010,1.25
4.123,0.300000,18132,1.43
4.187,0.400000,24001,1.67
4.263,0.500000,30039,2.00
4.311,0.550000,33188,2.22
4.371,0.600000,36044,2.50
4.499,0.650000,39023,2.86
5.091,0.700000,42004,3.33
14.295,0.750000,45243,4.00
14.327,0.775000,46719,4.44
14.351,0.800000,48045,5.00
14.383,0.825000,49930,5.71
14.407,0.850000,51339,6.67
14.431,0.875000,52721,8.00
14.447,0.887500,53557,8.89
14.463,0.900000,54354,10.00
14.479,0.912500,55057,11.43
14.495,0.925000,55608,13.33
14.511,0.937500,56251,16.00
14.527,0.943750,56703,17.78
14.543,0.950000,57092,20.00
14.559,0.956250,57441,22.86
14.575,0.962500,57758,26.67
14.599,0.968750,58135,32.00
14.623,0.971875,58366,35.56
14.639,0.975000,58507,40.00
14.671,0.978125,58698,45.71
14.719,0.981250,58888,53.33
14.823,0.984375,59065,64.00
14.911,0.985938,59158,71.11
14.999,0.987500,59261,80.00
15.039,0.989062,59347,91.43
15.079,0.990625,59438,106.67
15.119,0.992188,59538,128.00
15.135,0.992969,59579,142.22
15.159,0.993750,59630,160.00
15.183,0.994531,59674,182.86
15.215,0.995313,59726,213.33
15.255,0.996094,59769,256.00
15.279,0.996484,59793,284.44
15.303,0.996875,59815,320.00
15.351,0.997266,59840,365.71
15.415,0.997656,59861,426.67
15.487,0.998047,59883,512.00
15.663,0.998242,59895,568.89
15.815,0.998437,59907,640.00
15.895,0.998633,59918,731.43
16.079,0.998828,59930,853.33
16.279,0.999023,59942,1024.00
16.559,0.999121,59948,1137.78
16.719,0.999219,59954,1280.00
17.103,0.999316,59959,1462.86
17.311,0.999414,59965,1706.67
17.519,0.999512,59971,2048.00
17.695,0.999561,59974,2275.56
17.919,0.999609,59977,2560.00
18.159,0.999658,59980,2925.71
18.847,0.999707,59983,3413.33
19.391,0.999756,59986,4096.00
21.615,0.999780,59987,4551.11
26.959,0.999805,59989,5120.00
28.111,0.999829,59990,5851.43
46.815,0.999854,59992,6826.67
55.135,0.999878,59993,8192.00
70.143,0.999890,59994,9102.22
106.111,0.999902,59995,10240.00
106.111,0.999915,59995,11702.86
116.735,0.999927,59996,13653.33
119.871,0.999939,59997,16384.00
119.871,0.999945,59997,18204.44
201.087,0.999951,59998,20480.00
201.087,0.999957,59998,23405.71
201.087,0.999963,59998,27306.67
210.943,0.999969,59999,32768.00
210.943,0.999973,59999,36408.89
210.943,0.999976,59999,40960.00
210.943,0.999979,59999,46811.43
210.943,0.999982,59999,54613.33
232.575,0.999985,60000,65536.00
232.575,1.000000,60000,inf
