Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,30320,1.00
0.001,0.100000,30320,1.11
0.001,0.200000,30320,1.25
0.001,0.300000,30320,1.43
0.001,0.400000,30320,1.67
0.001,0.500000,30320,2.00
0.044,0.550000,33216,2.22
0.087,0.600000,36073,2.50
0.147,0.650000,39127,2.86
0.224,0.700000,42024,3.33
0.347,0.750000,45020,4.00
0.515,0.775000,46503,4.44
0.939,0.800000,48000,5.00
9.839,0.825000,49514,5.71
10.071,0.850000,51053,6.67
10.167,0.875000,52575,8.00
10.207,0.887500,53318,8.89
10.247,0.900000,54142,10.00
10.279,0.912500,54768,11.43
10.319,0.925000,55604,13.33
10.359,0.937500,56452,16.00
10.367,0.943750,56633,17.78
10.399,0.950000,57168,20.00
10.415,0.956250,57418,22.86
10.439,0.962500,57831,26.67
10.471,0.968750,58200,32.00
10.487,0.971875,58397,35.56
10.511,0.975000,58572,40.00
10.527,0.978125,58734,45.71
10.559,0.981250,58942,53.33
10.591,0.984375,59085,64.00
10.615,0.985938,59163,71.11
10.639,0.987500,59252,80.00
10.687,0.989062,59363,91.43
10.743,0.990625,59445,106.67
10.807,0.992188,59532,128.00
10.871,0.992969,59582,142.22
10.919,0.993750,59634,160.00
10.959,0.994531,59673,182.86
11.007,0.995313,59720,213.33
11.063,0.996094,59767,256.00
11.079,0.996484,59790,284.44
11.111,0.996875,59818,320.00
11.143,0.997266,59837,365.71
11.183,0.997656,59867,426.67
11.215,0.998047,59884,512.00
11.231,0.998242,59896,568.89
11.271,0.998437,59910,640.00
11.303,0.998633,59920,731.43
11.351,0.998828,59932,853.33
11.439,0.999023,59942,1024.00
11.535,0.999121,59948,1137.78
11.735,0.999219,59954,1280.00
11.879,0.999316,59959,1462.86
12.039,0.999414,59965,1706.67
12.439,0.999512,59971,2048.00
12.735,0.999561,59974,2275.56
12.975,0.999609,59977,2560.00
13.335,0.999658,59980,2925.71
13.799,0.999707,59983,3413.33
14.903,0.999756,59986,4096.00
17.663,0.999780,59987,4551.11
21.167,0.999805,59989,5120.00
21.775,0.999829,59990,5851.43
42.527,0.999854,59992,6826.67
48.127,0.999878,59993,8192.00
55.775,0.999890,59994,9102.22
101.631,0.999902,59995,10240.00
101.631,0.999915,59995,11702.86
112.511,0.999927,59996,13653.33
115.519,0.999939,59997,16384.00
115.519,0.999945,59997,18204.44
186.495,0.999951,59998,20480.00
186.495,0.999957,59998,23405.71
186.495,0.999963,59998,27306.67
206.847,0.999969,59999,32768.00
206.847,0.999973,59999,36408.89
206.847,0.999976,59999,40960.00
206.847,0.999979,59999,46811.43
206.847,0.999982,59999,54613.33
228.479,0.999985,60000,65536.00
228.479,1.000000,60000,inf
