Value,Percentile,TotalCount,1/(1-Percentile)
0.020,0.000000,50,1.00
0.030,0.100000,95831,1.11
0.030,0.200000,95831,1.25
0.030,0.300000,95831,1.43
0.040,0.400000,183031,1.67
0.040,0.500000,183031,2.00
0.040,0.550000,183031,2.22
0.040,0.600000,183031,2.50
0.050,0.650000,250670,2.86
0.050,0.700000,250670,3.33
0.050,0.750000,250670,4.00
0.050,0.775000,250670,4.44
0.050,0.800000,250670,5.00
0.050,0.825000,250670,5.71
0.051,0.850000,257267,6.67
0.060,0.875000,275236,8.00
0.060,0.887500,275236,8.89
0.060,0.900000,275236,10.00
0.060,0.912500,275236,11.43
0.061,0.925000,277582,13.33
0.070,0.937500,286273,16.00
0.070,0.943750,286273,17.78
0.070,0.950000,286273,20.00
0.071,0.956250,287548,22.86
0.080,0.962500,293627,26.67
0.080,0.968750,293627,32.00
0.080,0.971875,293627,35.56
0.080,0.975000,293627,40.00
0.080,0.978125,293627,45.71
0.081,0.981250,294746,53.33
0.100,0.984375,295514,64.00
0.110,0.985938,295859,71.11
0.121,0.987500,296267,80.00
0.140,0.989062,296870,91.43
0.150,0.990625,297217,106.67
0.161,0.992188,297742,128.00
0.170,0.992969,297920,142.22
0.180,0.993750,298173,160.00
0.191,0.994531,298420,182.86
0.210,0.995313,298662,213.33
0.221,0.996094,298868,256.00
0.230,0.996484,298965,284.44
0.240,0.996875,299074,320.00
0.251,0.997266,299207,365.71
0.261,0.997656,299311,426.67
0.280,0.998047,299439,512.00
0.281,0.998242,299482,568.89
0.291,0.998437,299555,640.00
0.301,0.998633,299611,731.43
0.311,0.998828,299656,853.33
0.331,0.999023,299715,1024.00
0.341,0.999121,299738,1137.78
0.360,0.999219,299773,1280.00
0.361,0.999316,299796,1462.86
0.381,0.999414,299828,1706.67
0.401,0.999512,299856,2048.00
0.411,0.999561,299877,2275.56
0.421,0.999609,299887,2560.00
0.431,0.999658,299899,2925.71
0.460,0.999707,299913,3413.33
0.481,0.999756,299930,4096.00
0.491,0.999780,299935,4551.11
0.521,0.999805,299943,5120.00
0.541,0.999829,299951,5851.43
0.571,0.999854,299958,6826.67
0.591,0.999878,299965,8192.00
0.611,0.999890,299969,9102.22
0.661,0.999902,299971,10240.00
0.681,0.999915,299975,11702.86
0.721,0.999927,299979,13653.33
0.801,0.999939,299982,16384.00
0.841,0.999945,299984,18204.44
0.902,0.999951,299986,20480.00
0.922,0.999957,299988,23405.71
1.052,0.999963,299990,27306.67
1.053,0.999969,299991,32768.00
1.112,0.999973,299992,36408.89
1.132,0.999976,299993,40960.00
1.133,0.999979,299994,46811.43
1.172,0.999982,299995,54613.33
1.703,0.999985,299996,65536.00
1.703,0.999986,299996,72817.78
2.275,0.999988,299997,81920.00
2.275,0.999989,299997,93622.86
2.395,0.999991,299998,109226.67
2.395,0.999992,299998,131072.00
2.395,0.999993,299998,145635.56
3.767,0.999994,299999,163840.00
3.767,0.999995,299999,187245.71
3.767,0.999995,299999,218453.33
3.767,0.999996,299999,262144.00
3.767,0.999997,299999,291271.11
3.869,0.999997,300000,327680.00
3.869,1.000000,300000,inf
