Value,Percentile,TotalCount,1/(1-Percentile)
3.871,0.000000,1,1.00
13.463,0.100000,30446,1.11
13.623,0.200000,60798,1.25
13.735,0.300000,90849,1.43
13.823,0.400000,122566,1.67
13.895,0.500000,150097,2.00
13.943,0.550000,167167,2.22
13.983,0.600000,180063,2.50
14.039,0.650000,195405,2.86
14.103,0.700000,211597,3.33
14.159,0.750000,225367,4.00
14.191,0.775000,233295,4.44
14.223,0.800000,241176,5.00
14.255,0.825000,248867,5.71
14.287,0.850000,256292,6.67
14.319,0.875000,263171,8.00
14.335,0.887500,266289,8.89
14.359,0.900000,270343,10.00
14.383,0.912500,273844,11.43
14.415,0.925000,277541,13.33
14.463,0.937500,281365,16.00
14.495,0.943750,283326,17.78
14.535,0.950000,285280,20.00
14.575,0.956250,287114,22.86
14.623,0.962500,289076,26.67
14.671,0.968750,290719,32.00
14.703,0.971875,291646,35.56
14.743,0.975000,292581,40.00
14.791,0.978125,293453,45.71
14.863,0.981250,294439,53.33
14.959,0.984375,295332,64.00
15.031,0.985938,295822,71.11
15.119,0.987500,296268,80.00
15.239,0.989062,296721,91.43
15.423,0.990625,297193,106.67
15.663,0.992188,297664,128.00
15.807,0.992969,297900,142.22
15.991,0.993750,298126,160.00
16.207,0.994531,298362,182.86
16.479,0.995313,298594,213.33
16.879,0.996094,298835,256.00
17.119,0.996484,298952,284.44
17.439,0.996875,299063,320.00
17.919,0.997266,299182,365.71
18.575,0.997656,299301,426.67
19.407,0.998047,299416,512.00
19.855,0.998242,299477,568.89
20.207,0.998437,299532,640.00
20.623,0.998633,299592,731.43
21.055,0.998828,299649,853.33
21.887,0.999023,299708,1024.00
22.239,0.999121,299740,1137.78
22.447,0.999219,299771,1280.00
22.847,0.999316,299795,1462.86
23.215,0.999414,299826,1706.67
23.647,0.999512,299855,2048.00
24.111,0.999561,299869,2275.56
24.511,0.999609,299883,2560.00
25.263,0.999658,299898,2925.71
26.031,0.999707,299914,3413.33
26.575,0.999756,299927,4096.00
26.783,0.999780,299936,4551.11
27.007,0.999805,299943,5120.00
27.215,0.999829,299949,5851.43
27.519,0.999854,299957,6826.67
27.695,0.999878,299964,8192.00
27.871,0.999890,299968,9102.22
27.967,0.999902,299971,10240.00
28.095,0.999915,299975,11702.86
28.335,0.999927,299980,13653.33
28.415,0.999939,299982,16384.00
28.719,0.999945,299985,18204.44
28.975,0.999951,299986,20480.00
29.311,0.999957,299988,23405.71
32.559,0.999963,299990,27306.67
34.879,0.999969,299991,32768.00
37.375,0.999973,299992,36408.89
38.463,0.999976,299993,40960.00
38.847,0.999979,299994,46811.43
39.135,0.999982,299995,54613.33
42.207,0.999985,299996,65536.00
42.207,0.999986,299996,72817.78
49.823,0.999988,299997,81920.00
49.823,0.999989,299997,93622.86
52.127,0.999991,299998,109226.67
52.127,0.999992,299998,131072.00
52.127,0.999993,299998,145635.56
52.799,0.999994,299999,163840.00
52.799,0.999995,299999,187245.71
52.799,0.999995,299999,218453.33
52.799,0.999996,299999,262144.00
52.799,0.999997,299999,291271.11
78.399,0.999997,300000,327680.00
78.399,1.000000,300000,inf
