Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,148189,1.00
0.001,0.100000,148189,1.11
0.001,0.200000,148189,1.25
0.001,0.300000,148189,1.43
0.001,0.400000,148189,1.67
0.022,0.500000,150093,2.00
0.122,0.550000,166926,2.22
0.161,0.600000,180087,2.50
0.192,0.650000,196448,2.86
0.223,0.700000,210210,3.33
0.273,0.750000,225578,4.00
0.313,0.775000,232757,4.44
0.373,0.800000,240350,5.00
0.432,0.825000,248087,5.71
0.483,0.850000,255374,6.67
0.563,0.875000,262595,8.00
0.623,0.887500,266630,8.89
0.693,0.900000,270228,10.00
0.763,0.912500,273766,11.43
0.813,0.925000,277993,13.33
0.844,0.937500,281517,16.00
0.863,0.943750,283248,17.78
0.883,0.950000,285164,20.00
0.904,0.956250,287156,22.86
0.934,0.962500,288773,26.67
1.004,0.968750,290676,32.00
1.073,0.971875,291574,35.56
1.163,0.975000,292516,40.00
1.243,0.978125,293446,45.71
1.333,0.981250,294383,53.33
1.565,0.984375,295320,64.00
1.876,0.985938,295782,71.11
2.357,0.987500,296250,80.00
3.259,0.989062,296721,91.43
4.875,0.990625,297190,106.67
6.875,0.992188,297658,128.00
7.887,0.992969,297891,142.22
8.663,0.993750,298125,160.00
9.199,0.994531,298366,182.86
9.327,0.995313,298600,213.33
9.511,0.996094,298834,256.00
9.655,0.996484,298958,284.44
9.727,0.996875,299070,320.00
9.783,0.997266,299191,365.71
9.831,0.997656,299310,426.67
9.903,0.998047,299422,512.00
9.975,0.998242,299476,568.89
10.111,0.998437,299536,640.00
10.183,0.998633,299602,731.43
10.231,0.998828,299652,853.33
10.287,0.999023,299716,1024.00
10.311,0.999121,299739,1137.78
10.343,0.999219,299770,1280.00
10.415,0.999316,299796,1462.86
10.567,0.999414,299829,1706.67
10.879,0.999512,299854,2048.00
11.055,0.999561,299869,2275.56
11.551,0.999609,299883,2560.00
11.975,0.999658,299898,2925.71
12.543,0.999707,299913,3413.33
12.839,0.999756,299927,4096.00
13.047,0.999780,299935,4551.11
13.287,0.999805,299943,5120.00
13.407,0.999829,299949,5851.43
13.663,0.999854,299957,6826.67
14.023,0.999878,299964,8192.00
14.159,0.999890,299968,9102.22
14.351,0.999902,299971,10240.00
14.791,0.999915,299975,11702.86
15.207,0.999927,299979,13653.33
16.359,0.999939,299982,16384.00
16.991,0.999945,299984,18204.44
18.975,0.999951,299986,20480.00
20.191,0.999957,299988,23405.71
21.567,0.999963,299990,27306.67
23.471,0.999969,299991,32768.00
23.743,0.999973,299992,36408.89
23.871,0.999976,299993,40960.00
24.047,0.999979,299994,46811.43
24.575,0.999982,299995,54613.33
27.999,0.999985,299996,65536.00
27.999,0.999986,299996,72817.78
35.999,0.999988,299997,81920.00
35.999,0.999989,299997,93622.86
36.031,0.999991,299998,109226.67
36.031,0.999992,299998,131072.00
36.031,0.999993,299998,145635.56
39.071,0.999994,299999,163840.00
39.071,0.999995,299999,187245.71
39.071,0.999995,299999,218453.33
39.071,0.999996,299999,262144.00
39.071,0.999997,299999,291271.11
64.959,0.999997,300000,327680.00
64.959,1.000000,300000,inf
