Value,Percentile,TotalCount,1/(1-Percentile)
2.983,0.000000,1,1.00
12.303,0.100000,1556,1.11
12.479,0.200000,3034,1.25
12.575,0.300000,4558,1.43
12.647,0.400000,6010,1.67
12.727,0.500000,7569,2.00
12.767,0.550000,8304,2.22
12.815,0.600000,9048,2.50
12.863,0.650000,9755,2.86
12.919,0.700000,10559,3.33
12.975,0.750000,11329,4.00
12.999,0.775000,11687,4.44
13.023,0.800000,12026,5.00
13.055,0.825000,12447,5.71
13.079,0.850000,12800,6.67
13.111,0.875000,13197,8.00
13.127,0.887500,13420,8.89
13.135,0.900000,13522,10.00
13.159,0.912500,13747,11.43
13.183,0.925000,13936,13.33
13.207,0.937500,14093,16.00
13.231,0.943750,14183,17.78
13.255,0.950000,14254,20.00
13.303,0.956250,14361,22.86
13.351,0.962500,14442,26.67
13.431,0.968750,14535,32.00
13.479,0.971875,14583,35.56
13.527,0.975000,14636,40.00
13.575,0.978125,14674,45.71
13.631,0.981250,14721,53.33
13.719,0.984375,14767,64.00
13.767,0.985938,14791,71.11
13.855,0.987500,14813,80.00
13.983,0.989062,14836,91.43
14.207,0.990625,14862,106.67
14.375,0.992188,14883,128.00
14.455,0.992969,14895,142.22
14.607,0.993750,14909,160.00
14.767,0.994531,14919,182.86
14.847,0.995313,14932,213.33
14.975,0.996094,14943,256.00
15.095,0.996484,14948,284.44
15.207,0.996875,14954,320.00
15.263,0.997266,14959,365.71
15.607,0.997656,14966,426.67
15.751,0.998047,14971,512.00
15.823,0.998242,14974,568.89
15.975,0.998437,14977,640.00
16.087,0.998633,14980,731.43
16.431,0.998828,14983,853.33
17.231,0.999023,14986,1024.00
17.359,0.999121,14987,1137.78
18.591,0.999219,14989,1280.00
18.815,0.999316,14990,1462.86
18.879,0.999414,14992,1706.67
19.007,0.999512,14993,2048.00
19.903,0.999561,14994,2275.56
20.751,0.999609,14995,2560.00
20.751,0.999658,14995,2925.71
21.647,0.999707,14996,3413.33
21.967,0.999756,14997,4096.00
21.967,0.999780,14997,4551.11
24.159,0.999805,14998,5120.00
24.159,0.999829,14998,5851.43
24.159,0.999854,14998,6826.67
24.655,0.999878,14999,8192.00
24.655,0.999890,14999,9102.22
24.655,0.999902,14999,10240.00
24.655,0.999915,14999,11702.86
24.655,0.999927,14999,13653.33
27.151,0.999939,15000,16384.00
27.151,1.000000,15000,inf
