Value,Percentile,TotalCount,1/(1-Percentile)
0.001,0.000000,7715,1.00
0.001,0.100000,7715,1.11
0.001,0.200000,7715,1.25
0.001,0.300000,7715,1.43
0.001,0.400000,7715,1.67
0.001,0.500000,7715,2.00
0.154,0.550000,8255,2.22
0.234,0.600000,9058,2.50
0.264,0.650000,9902,2.86
0.284,0.700000,10602,3.33
0.304,0.750000,11268,4.00
0.323,0.775000,11649,4.44
0.334,0.800000,12131,5.00
0.354,0.825000,12510,5.71
0.374,0.850000,12784,6.67
0.414,0.875000,13145,8.00
0.454,0.887500,13337,8.89
0.504,0.900000,13525,10.00
0.545,0.912500,13688,11.43
0.634,0.925000,13877,13.33
0.765,0.937500,14068,16.00
0.825,0.943750,14176,17.78
0.865,0.950000,14250,20.00
0.905,0.956250,14354,22.86
0.945,0.962500,14474,26.67
0.975,0.968750,14552,32.00
0.985,0.971875,14582,35.56
1.005,0.975000,14627,40.00
1.065,0.978125,14674,45.71
1.185,0.981250,14719,53.33
1.426,0.984375,14767,64.00
1.587,0.985938,14791,71.11
1.837,0.987500,14813,80.00
2.299,0.989062,14837,91.43
3.119,0.990625,14860,106.67
5.043,0.992188,14883,128.00
6.979,0.992969,14895,142.22
8.171,0.993750,14907,160.00
8.671,0.994531,14918,182.86
8.911,0.995313,14931,213.33
9.247,0.996094,14942,256.00
9.375,0.996484,14948,284.44
9.415,0.996875,14954,320.00
9.447,0.997266,14959,365.71
9.559,0.997656,14965,426.67
9.687,0.998047,14971,512.00
9.719,0.998242,14974,568.89
9.767,0.998437,14977,640.00
9.799,0.998633,14981,731.43
9.823,0.998828,14983,853.33
9.919,0.999023,14986,1024.00
9.935,0.999121,14987,1137.78
10.015,0.999219,14989,1280.00
10.023,0.999316,14990,1462.86
10.055,0.999414,14992,1706.67
10.087,0.999512,14993,2048.00
10.167,0.999561,14994,2275.56
10.279,0.999609,14995,2560.00
10.279,0.999658,14995,2925.71
10.687,0.999707,14996,3413.33
11.135,0.999756,14997,4096.00
11.135,0.999780,14997,4551.11
11.431,0.999805,14998,5120.00
11.431,0.999829,14998,5851.43
11.431,0.999854,14998,6826.67
12.071,0.999878,14999,8192.00
12.071,0.999890,14999,9102.22
12.071,0.999902,14999,10240.00
12.071,0.999915,14999,11702.86
12.071,0.999927,14999,13653.33
14.047,0.999939,15000,16384.00
14.047,1.000000,15000,inf
