Value,Percentile,TotalCount,1/(1-Percentile)
0.020,0.000000,33,1.00
0.030,0.100000,6731,1.11
0.030,0.200000,6731,1.25
0.030,0.300000,6731,1.43
0.030,0.400000,6731,1.67
0.040,0.500000,9665,2.00
0.040,0.550000,9665,2.22
0.040,0.600000,9665,2.50
0.041,0.650000,9879,2.86
0.050,0.700000,12007,3.33
0.050,0.750000,12007,4.00
0.050,0.775000,12007,4.44
0.050,0.800000,12007,5.00
0.060,0.825000,13614,5.71
0.060,0.850000,13614,6.67
0.060,0.875000,13614,8.00
0.060,0.887500,13614,8.89
0.060,0.900000,13614,10.00
0.061,0.912500,13789,11.43
0.070,0.925000,14270,13.33
0.070,0.937500,14270,16.00
0.070,0.943750,14270,17.78
0.070,0.950000,14270,20.00
0.071,0.956250,14352,22.86
0.080,0.962500,14522,26.67
0.081,0.968750,14549,32.00
0.090,0.971875,14624,35.56
0.091,0.975000,14639,40.00
0.101,0.978125,14674,45.71
0.120,0.981250,14721,53.33
0.141,0.984375,14769,64.00
0.151,0.985938,14790,71.11
0.161,0.987500,14813,80.00
0.171,0.989062,14838,91.43
0.190,0.990625,14872,106.67
0.200,0.992188,14889,128.00
0.210,0.992969,14899,142.22
0.221,0.993750,14907,160.00
0.231,0.994531,14921,182.86
0.250,0.995313,14931,213.33
0.260,0.996094,14942,256.00
0.270,0.996484,14950,284.44
0.280,0.996875,14957,320.00
0.281,0.997266,14960,365.71
0.291,0.997656,14966,426.67
0.301,0.998047,14972,512.00
0.310,0.998242,14974,568.89
0.321,0.998437,14978,640.00
0.350,0.998633,14980,731.43
0.381,0.998828,14983,853.33
0.411,0.999023,14986,1024.00
0.421,0.999121,14989,1137.78
0.421,0.999219,14989,1280.00
0.451,0.999316,14990,1462.86
0.471,0.999414,14993,1706.67
0.471,0.999512,14993,2048.00
0.491,0.999561,14994,2275.56
0.501,0.999609,14995,2560.00
0.501,0.999658,14995,2925.71
0.511,0.999707,14996,3413.33
0.541,0.999756,14997,4096.00
0.541,0.999780,14997,4551.11
0.651,0.999805,14998,5120.00
0.651,0.999829,14998,5851.43
0.651,0.999854,14998,6826.67
1.373,0.999878,14999,8192.00
1.373,0.999890,14999,9102.22
1.373,0.999902,14999,10240.00
1.373,0.999915,14999,11702.86
1.373,0.999927,14999,13653.33
6.715,0.999939,15000,16384.00
6.715,1.000000,15000,inf
